State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-10 15:33:42.230000,2023-10-10 15:33:43.259000,0.0,1.029,1.029,0,0
TASK COMPREHENSION,2023-10-10 15:33:43.259000,2023-10-10 15:33:46.267000,1.029,4.037,3.008,1,1_complex
FAULT LOCALIZATION,2023-10-10 15:33:46.267000,2023-10-10 15:34:30.064000,4.037,47.834,43.797,1,1_complex
CODE EDITING,2023-10-10 15:34:30.064000,2023-10-10 15:34:52,47.834,69.77,21.936,1,1_complex
COMPILING,2023-10-10 15:34:52,2023-10-10 15:34:58.409000,69.77,76.179,6.409,1,1_complex
OUTPUT COMPREHENSION,2023-10-10 15:34:58.409000,2023-10-10 15:35:07.220000,76.179,84.99,8.811,1,1_complex
CODE EDITING,2023-10-10 15:35:07.220000,2023-10-10 15:35:18,84.99,95.77,10.78,1,1_complex
COMPILING,2023-10-10 15:35:18,2023-10-10 15:35:21.488000,95.77,99.258,3.488,1,1_complex
OUTPUT COMPREHENSION,2023-10-10 15:35:21.488000,2023-10-10 15:35:30.510000,99.258,108.28,9.022,1,1_complex
TASK COMPREHENSION,2023-10-10 15:35:30.510000,2023-10-10 15:35:33.520000,108.28,111.29,3.01,2,35_nonword
FAULT LOCALIZATION,2023-10-10 15:35:33.520000,2023-10-10 15:35:54.241000,111.29,132.011,20.721,2,35_nonword
CODE EDITING,2023-10-10 15:35:54.241000,2023-10-10 15:36:20,132.011,157.77,25.759,2,35_nonword
COMPILING,2023-10-10 15:36:20,2023-10-10 15:36:24.673000,157.77,162.443,4.673,2,35_nonword
OUTPUT COMPREHENSION,2023-10-10 15:36:24.673000,2023-10-10 15:36:28,162.443,165.77,3.327,2,35_nonword
COMPILING,2023-10-10 15:36:28,2023-10-10 15:36:31.702000,165.77,169.472,3.702,2,35_nonword
OUTPUT COMPREHENSION,2023-10-10 15:36:31.702000,2023-10-10 15:38:10.792000,169.472,268.562,99.09,2,35_nonword
TASK COMPREHENSION,2023-10-10 15:38:10.792000,2023-10-10 15:38:15.800000,268.562,273.57,5.008,3,104_original
FAULT LOCALIZATION,2023-10-10 15:38:15.800000,2023-10-10 15:40:21.224000,273.57,398.994,125.424,3,104_original
CODE EDITING,2023-10-10 15:40:21.224000,2023-10-10 15:40:46,398.994,423.77,24.776,3,104_original
COMPILING,2023-10-10 15:40:46,2023-10-10 15:40:50.068000,423.77,427.838,4.068,3,104_original
OUTPUT COMPREHENSION,2023-10-10 15:40:50.068000,2023-10-10 15:40:59.085000,427.838,436.855,9.017,3,104_original
TASK COMPREHENSION,2023-10-10 15:40:59.085000,2023-10-10 15:41:08.162000,436.855,445.932,9.077,4,118_nonword
FAULT LOCALIZATION,2023-10-10 15:41:08.162000,2023-10-10 15:43:00.051000,445.932,557.821,111.889,4,118_nonword
CODE EDITING,2023-10-10 15:43:00.051000,2023-10-10 15:43:59,557.821,616.77,58.949,4,118_nonword
COMPILING,2023-10-10 15:43:59,2023-10-10 15:44:04.420000,616.77,622.19,5.42,4,118_nonword
OUTPUT COMPREHENSION,2023-10-10 15:44:04.420000,2023-10-10 15:44:11.436000,622.19,629.206,7.016,4,118_nonword
TASK COMPREHENSION,2023-10-10 15:44:11.436000,2023-10-10 15:44:35.467000,629.206,653.237,24.031,5,108_complex
FAULT LOCALIZATION,2023-10-10 15:44:35.467000,2023-10-10 15:45:06.826000,653.237,684.596,31.359,5,108_complex
CODE EDITING,2023-10-10 15:45:06.826000,2023-10-10 15:45:34,684.596,711.77,27.174,5,108_complex
COMPILING,2023-10-10 15:45:34,2023-10-10 15:45:38.619000,711.77,716.389,4.619,5,108_complex
OUTPUT COMPREHENSION,2023-10-10 15:45:38.619000,2023-10-10 15:46:00,716.389,737.77,21.381,5,108_complex
COMPILING,2023-10-10 15:46:00,2023-10-10 15:46:04.679000,737.77,742.449,4.679,5,108_complex
OUTPUT COMPREHENSION,2023-10-10 15:46:04.679000,2023-10-10 15:46:35,742.449,772.77,30.321,5,108_complex
COMPILING,2023-10-10 15:46:35,2023-10-10 15:46:38.730000,772.77,776.5,3.73,5,108_complex
OUTPUT COMPREHENSION,2023-10-10 15:46:38.730000,2023-10-10 15:46:45.740000,776.5,783.51,7.01,5,108_complex
TASK COMPREHENSION,2023-10-10 15:46:45.740000,2023-10-10 15:46:51.764000,783.51,789.534,6.024,6,169_simple
FAULT LOCALIZATION,2023-10-10 15:46:51.764000,2023-10-10 15:47:18.938000,789.534,816.708,27.174,6,169_simple
CODE EDITING,2023-10-10 15:47:18.938000,2023-10-10 15:47:39,816.708,836.77,20.062,6,169_simple
COMPILING,2023-10-10 15:47:39,2023-10-10 15:47:43.927000,836.77,841.697,4.927,6,169_simple
OUTPUT COMPREHENSION,2023-10-10 15:47:43.927000,2023-10-10 15:47:50.936000,841.697,848.706,7.009,6,169_simple
TASK COMPREHENSION,2023-10-10 15:47:50.936000,2023-10-10 15:47:57.971000,848.706,855.741,7.035,7,203_simple
FAULT LOCALIZATION,2023-10-10 15:47:57.971000,2023-10-10 15:48:36.671000,855.741,894.441,38.7,7,203_simple
CODE EDITING,2023-10-10 15:48:36.671000,2023-10-10 15:49:02,894.441,919.77,25.329,7,203_simple
COMPILING,2023-10-10 15:49:02,2023-10-10 15:49:06.127000,919.77,923.897,4.127,7,203_simple
OUTPUT COMPREHENSION,2023-10-10 15:49:06.127000,2023-10-10 15:49:14.142000,923.897,931.912,8.015,7,203_simple
TASK COMPREHENSION,2023-10-10 15:49:14.142000,2023-10-10 15:49:19.160000,931.912,936.93,5.018,8,112_complex
FAULT LOCALIZATION,2023-10-10 15:49:19.160000,2023-10-10 15:51:02.517000,936.93,1040.287,103.357,8,112_complex
CODE EDITING,2023-10-10 15:51:02.517000,2023-10-10 15:51:10,1040.287,1047.77,7.483,8,112_complex
COMPILING,2023-10-10 15:51:10,2023-10-10 15:51:13.330000,1047.77,1051.1,3.33,8,112_complex
OUTPUT COMPREHENSION,2023-10-10 15:51:13.330000,2023-10-10 15:51:20.347000,1051.1,1058.117,7.017,8,112_complex
TASK COMPREHENSION,2023-10-10 15:51:20.347000,2023-10-10 15:51:27.375000,1058.117,1065.145,7.028,9,136_nonword
FAULT LOCALIZATION,2023-10-10 15:51:27.375000,2023-10-10 15:52:23.020000,1065.145,1120.79,55.645,9,136_nonword
CODE EDITING,2023-10-10 15:52:23.020000,2023-10-10 15:52:34,1120.79,1131.77,10.98,9,136_nonword
COMPILING,2023-10-10 15:52:34,2023-10-10 15:52:39.488000,1131.77,1137.258,5.488,9,136_nonword
OUTPUT COMPREHENSION,2023-10-10 15:52:39.488000,2023-10-10 15:52:47,1137.258,1144.77,7.512,9,136_nonword
COMPILING,2023-10-10 15:52:47,2023-10-10 15:52:52.514000,1144.77,1150.284,5.514,9,136_nonword
OUTPUT COMPREHENSION,2023-10-10 15:52:52.514000,2023-10-10 15:52:59.521000,1150.284,1157.291,7.007,9,136_nonword
TASK COMPREHENSION,2023-10-10 15:52:59.521000,2023-10-10 15:53:06.536000,1157.291,1164.306,7.015,10,66_original
FAULT LOCALIZATION,2023-10-10 15:53:06.536000,2023-10-10 15:53:35.097000,1164.306,1192.867,28.561,10,66_original
CODE EDITING,2023-10-10 15:53:35.097000,2023-10-10 15:53:44,1192.867,1201.77,8.903,10,66_original
COMPILING,2023-10-10 15:53:44,2023-10-10 15:53:49.682000,1201.77,1207.452,5.682,10,66_original
OUTPUT COMPREHENSION,2023-10-10 15:53:49.682000,2023-10-10 15:53:56.687000,1207.452,1214.457,7.005,10,66_original
TASK COMPREHENSION,2023-10-10 15:53:56.687000,2023-10-10 15:54:00.712000,1214.457,1218.482,4.025,11,13_simple
FAULT LOCALIZATION,2023-10-10 15:54:00.712000,2023-10-10 15:56:37.227000,1218.482,1374.997,156.515,11,13_simple
CODE EDITING,2023-10-10 15:56:37.227000,2023-10-10 15:56:48,1374.997,1385.77,10.773,11,13_simple
COMPILING,2023-10-10 15:56:48,2023-10-10 15:56:52.978000,1385.77,1390.748,4.978,11,13_simple
OUTPUT COMPREHENSION,2023-10-10 15:56:52.978000,2023-10-10 15:57:01.263000,1390.748,1399.033,8.285,11,13_simple
CODE EDITING,2023-10-10 15:57:01.263000,2023-10-10 15:57:27,1399.033,1424.77,25.737,11,13_simple
COMPILING,2023-10-10 15:57:27,2023-10-10 15:57:31.137000,1424.77,1428.907,4.137,11,13_simple
OUTPUT COMPREHENSION,2023-10-10 15:57:31.137000,2023-10-10 15:57:35.560000,1428.907,1433.33,4.423,11,13_simple
CODE EDITING,2023-10-10 15:57:35.560000,2023-10-10 15:57:37,1433.33,1434.77,1.44,11,13_simple
COMPILING,2023-10-10 15:57:37,2023-10-10 15:57:43.195000,1434.77,1440.965,6.195,11,13_simple
OUTPUT COMPREHENSION,2023-10-10 15:57:43.195000,2023-10-10 15:57:50.201000,1440.965,1447.971,7.006,11,13_simple
TASK COMPREHENSION,2023-10-10 15:57:50.201000,2023-10-10 15:57:58.218000,1447.971,1455.988,8.017,12,121_complex
FAULT LOCALIZATION,2023-10-10 15:57:58.218000,2023-10-10 15:58:17.180000,1455.988,1474.95,18.962,12,121_complex
CODE EDITING,2023-10-10 15:58:17.180000,2023-10-10 15:58:51,1474.95,1508.77,33.82,12,121_complex
COMPILING,2023-10-10 15:58:51,2023-10-10 15:58:55.376000,1508.77,1513.146,4.376,12,121_complex
OUTPUT COMPREHENSION,2023-10-10 15:58:55.376000,2023-10-10 15:59:02.387000,1513.146,1520.157,7.011,12,121_complex
TASK COMPREHENSION,2023-10-10 15:59:02.387000,2023-10-10 15:59:06.392000,1520.157,1524.162,4.005,13,144_original
FAULT LOCALIZATION,2023-10-10 15:59:06.392000,2023-10-10 15:59:14.330000,1524.162,1532.1,7.938,13,144_original
CODE EDITING,2023-10-10 15:59:14.330000,2023-10-10 15:59:25,1532.1,1542.77,10.67,13,144_original
COMPILING,2023-10-10 15:59:25,2023-10-10 15:59:29.448000,1542.77,1547.218,4.448,13,144_original
OUTPUT COMPREHENSION,2023-10-10 15:59:29.448000,2023-10-10 16:02:46.738000,1547.218,1744.508,197.29,13,144_original
TASK COMPREHENSION,2023-10-10 16:02:46.738000,2023-10-10 16:03:36.803000,1744.508,1794.573,50.065,1,1_complex
FAULT LOCALIZATION,2023-10-10 16:03:36.803000,2023-10-10 16:08:20.185000,1794.573,2077.955,283.382,1,1_complex
