State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-19 14:34:56.100000,2023-06-19 14:35:03.176000,0.0,7.076,7.076,0,0
TASK COMPREHENSION,2023-06-19 14:35:03.176000,2023-06-19 14:35:19.196000,7.076,23.096,16.02,1,169_nonword
FAULT LOCALIZATION,2023-06-19 14:35:19.196000,2023-06-19 14:36:36.368000,23.096,100.268,77.172,1,169_nonword
CODE EDITING,2023-06-19 14:36:36.368000,2023-06-19 14:37:02,100.268,125.9,25.632,1,169_nonword
COMPILING,2023-06-19 14:37:02,2023-06-19 14:37:05.349000,125.9,129.249,3.349,1,169_nonword
OUTPUT COMPREHENSION,2023-06-19 14:37:05.349000,2023-06-19 14:37:15.364000,129.249,139.264,10.015,1,169_nonword
TASK COMPREHENSION,2023-06-19 14:37:15.364000,2023-06-19 14:37:16.372000,139.264,140.272,1.008,2,35_original
FAULT LOCALIZATION,2023-06-19 14:37:16.372000,2023-06-19 14:37:59.682000,140.272,183.582,43.31,2,35_original
CODE EDITING,2023-06-19 14:37:59.682000,2023-06-19 14:38:10,183.582,193.9,10.318,2,35_original
COMPILING,2023-06-19 14:38:10,2023-06-19 14:38:13.464000,193.9,197.364,3.464,2,35_original
OUTPUT COMPREHENSION,2023-06-19 14:38:13.464000,2023-06-19 14:38:19,197.364,202.9,5.536,2,35_original
COMPILING,2023-06-19 14:38:19,2023-06-19 14:38:21.495000,202.9,205.395,2.495,2,35_original
OUTPUT COMPREHENSION,2023-06-19 14:38:21.495000,2023-06-19 14:38:30.503000,205.395,214.403,9.008,2,35_original
TASK COMPREHENSION,2023-06-19 14:38:30.503000,2023-06-19 14:38:32.506000,214.403,216.406,2.003,3,112_complex
FAULT LOCALIZATION,2023-06-19 14:38:32.506000,2023-06-19 14:41:10.140000,216.406,374.04,157.634,3,112_complex
CODE EDITING,2023-06-19 14:41:10.140000,2023-06-19 14:41:39,374.04,402.9,28.86,3,112_complex
COMPILING,2023-06-19 14:41:39,2023-06-19 14:41:43.814000,402.9,407.714,4.814,3,112_complex
OUTPUT COMPREHENSION,2023-06-19 14:41:43.814000,2023-06-19 14:41:58.838000,407.714,422.738,15.024,3,112_complex
TASK COMPREHENSION,2023-06-19 14:41:58.838000,2023-06-19 14:42:05.870000,422.738,429.77,7.032,4,121_original
FAULT LOCALIZATION,2023-06-19 14:42:05.870000,2023-06-19 14:43:10.051000,429.77,493.951,64.181,4,121_original
CODE EDITING,2023-06-19 14:43:10.051000,2023-06-19 14:43:28,493.951,511.9,17.949,4,121_original
COMPILING,2023-06-19 14:43:28,2023-06-19 14:43:33.025000,511.9,516.925,5.025,4,121_original
OUTPUT COMPREHENSION,2023-06-19 14:43:33.025000,2023-06-19 14:43:43.034000,516.925,526.934,10.009,4,121_original
TASK COMPREHENSION,2023-06-19 14:43:43.034000,2023-06-19 14:43:44.051000,526.934,527.951,1.017,5,136_nonword
FAULT LOCALIZATION,2023-06-19 14:43:44.051000,2023-06-19 14:44:51.305000,527.951,595.205,67.254,5,136_nonword
CODE EDITING,2023-06-19 14:44:51.305000,2023-06-19 14:44:56,595.205,599.9,4.695,5,136_nonword
COMPILING,2023-06-19 14:44:56,2023-06-19 14:45:04.205000,599.9,608.105,8.205,5,136_nonword
OUTPUT COMPREHENSION,2023-06-19 14:45:04.205000,2023-06-19 14:45:13.213000,608.105,617.113,9.008,5,136_nonword
TASK COMPREHENSION,2023-06-19 14:45:13.213000,2023-06-19 14:45:14.227000,617.113,618.127,1.014,6,66_nonword
FAULT LOCALIZATION,2023-06-19 14:45:14.227000,2023-06-19 14:46:35.227000,618.127,699.127,81.0,6,66_nonword
CODE EDITING,2023-06-19 14:46:35.227000,2023-06-19 14:46:51,699.127,714.9,15.773,6,66_nonword
COMPILING,2023-06-19 14:46:51,2023-06-19 14:46:55.387000,714.9,719.287,4.387,6,66_nonword
