State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-15 22:20:26.125000,2023-10-15 22:30:57.492000,0.0,631.367,631.367,0,0
TASK COMPREHENSION,2023-10-15 22:30:57.492000,2023-10-15 22:31:26.540000,631.367,660.415,29.048,2,144_complex
FAULT LOCALIZATION,2023-10-15 22:31:26.540000,2023-10-15 22:31:48.923000,660.415,682.798,22.383,2,144_complex
CODE EDITING,2023-10-15 22:31:48.923000,2023-10-15 22:31:55,682.798,688.875,6.077,2,144_complex
COMPILING,2023-10-15 22:31:55,2023-10-15 22:32:04.619000,688.875,698.494,9.619,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:32:04.619000,2023-10-15 22:33:17.064000,698.494,770.939,72.445,2,144_complex
CODE EDITING,2023-10-15 22:33:17.064000,2023-10-15 22:36:00,770.939,933.875,162.936,2,144_complex
COMPILING,2023-10-15 22:36:00,2023-10-15 22:36:05.047000,933.875,938.922,5.047,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:36:05.047000,2023-10-15 22:36:10,938.922,943.875,4.953,2,144_complex
COMPILING,2023-10-15 22:36:10,2023-10-15 22:36:13.074000,943.875,946.949,3.074,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:36:13.074000,2023-10-15 22:36:57,946.949,990.875,43.926,2,144_complex
COMPILING,2023-10-15 22:36:57,2023-10-15 22:37:04.141000,990.875,998.016,7.141,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:37:04.141000,2023-10-15 22:37:16.591000,998.016,1010.466,12.45,2,144_complex
CODE EDITING,2023-10-15 22:37:16.591000,2023-10-15 22:37:28,1010.466,1021.875,11.409,2,144_complex
COMPILING,2023-10-15 22:37:28,2023-10-15 22:37:31.238000,1021.875,1025.113,3.238,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:37:31.238000,2023-10-15 22:37:44.183000,1025.113,1038.058,12.945,2,144_complex
CODE EDITING,2023-10-15 22:37:44.183000,2023-10-15 22:37:50,1038.058,1043.875,5.817,2,144_complex
COMPILING,2023-10-15 22:37:50,2023-10-15 22:38:06.313000,1043.875,1060.188,16.313,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:38:06.313000,2023-10-15 22:38:14.840000,1060.188,1068.715,8.527,2,144_complex
CODE EDITING,2023-10-15 22:38:14.840000,2023-10-15 22:39:14,1068.715,1127.875,59.16,2,144_complex
COMPILING,2023-10-15 22:39:14,2023-10-15 22:39:17.547000,1127.875,1131.422,3.547,2,144_complex
OUTPUT COMPREHENSION,2023-10-15 22:39:17.547000,2023-10-15 22:39:34.953000,1131.422,1148.828,17.406,2,144_complex
CODE EDITING,2023-10-15 22:39:34.953000,2023-10-15 22:39:39,1148.828,1152.875,4.047,2,144_complex
COMPILING,2023-10-15 22:39:39,2023-10-15 22:40:35.938000,1152.875,1209.813,56.938,2,144_complex
CODE EDITING,2023-10-15 22:40:35.938000,2023-10-15 22:43:10,1209.813,1363.875,154.062,3,35_nonword
COMPILING,2023-10-15 22:43:10,2023-10-15 22:43:14.934000,1363.875,1368.809,4.934,3,35_nonword
OUTPUT COMPREHENSION,2023-10-15 22:43:14.934000,2023-10-15 22:43:23.002000,1368.809,1376.877,8.068,3,35_nonword
CODE EDITING,2023-10-15 22:43:23.002000,2023-10-15 22:43:46,1376.877,1399.875,22.998,3,35_nonword
COMPILING,2023-10-15 22:43:46,2023-10-15 22:43:48.036000,1399.875,1401.911,2.036,3,35_nonword
OUTPUT COMPREHENSION,2023-10-15 22:43:48.036000,2023-10-15 22:43:53.047000,1401.911,1406.922,5.011,3,35_nonword
IDLE,2023-10-15 22:43:53.047000,2023-10-15 22:44:08.062000,1406.922,1421.937,15.015,4,1_nonword
TASK COMPREHENSION,2023-10-15 22:44:08.062000,2023-10-15 22:44:28.101000,1421.937,1441.976,20.039,4,1_nonword
FAULT LOCALIZATION,2023-10-15 22:44:28.101000,2023-10-15 22:45:20.351000,1441.976,1494.226,52.25,4,1_nonword
CODE EDITING,2023-10-15 22:45:20.351000,2023-10-15 22:46:28.282000,1494.226,1562.157,67.931,4,1_nonword
IDLE,2023-10-15 22:46:28.282000,2023-10-15 22:46:35.290000,1562.157,1569.165,7.008,5,108_nonword
TASK COMPREHENSION,2023-10-15 22:46:35.290000,2023-10-15 22:47:02.587000,1569.165,1596.462,27.297,5,108_nonword
CODE EDITING,2023-10-15 22:47:02.587000,2023-10-15 22:47:22,1596.462,1615.875,19.413,5,108_nonword
COMPILING,2023-10-15 22:47:22,2023-10-15 22:47:25.388000,1615.875,1619.263,3.388,5,108_nonword
OUTPUT COMPREHENSION,2023-10-15 22:47:25.388000,2023-10-15 22:47:52.435000,1619.263,1646.31,27.047,5,108_nonword
IDLE,2023-10-15 22:47:52.435000,2023-10-15 22:48:39,1646.31,1692.875,46.565,4,1_nonword
COMPILING,2023-10-15 22:48:39,2023-10-15 22:48:42.590000,1692.875,1696.465,3.59,5,108_nonword
OUTPUT COMPREHENSION,2023-10-15 22:48:42.590000,2023-10-15 22:48:55.614000,1696.465,1709.489,13.024,5,108_nonword
IDLE,2023-10-15 22:48:55.614000,2023-10-15 22:48:58.628000,1709.489,1712.503,3.014,6,66_complex
TASK COMPREHENSION,2023-10-15 22:48:58.628000,2023-10-15 22:49:58.664000,1712.503,1772.539,60.036,6,66_complex
CODE EDITING,2023-10-15 22:49:58.664000,2023-10-15 22:50:29.804000,1772.539,1803.679,31.14,6,66_complex
IDLE,2023-10-15 22:50:29.804000,2023-10-15 22:53:36,1803.679,1989.875,186.196,5,108_nonword
COMPILING,2023-10-15 22:53:36,2023-10-15 22:53:39.141000,1989.875,1993.016,3.141,6,66_complex
OUTPUT COMPREHENSION,2023-10-15 22:53:39.141000,2023-10-15 22:53:44,1993.016,1997.875,4.859,6,66_complex
COMPILING,2023-10-15 22:53:44,2023-10-15 22:53:47.194000,1997.875,2001.069,3.194,6,66_complex
OUTPUT COMPREHENSION,2023-10-15 22:53:47.194000,2023-10-15 22:54:13.627000,2001.069,2027.502,26.433,6,66_complex
CODE EDITING,2023-10-15 22:54:13.627000,2023-10-15 22:54:20,2027.502,2033.875,6.373,6,66_complex
COMPILING,2023-10-15 22:54:20,2023-10-15 22:55:20.807000,2033.875,2094.682,60.807,6,66_complex
CODE EDITING,2023-10-15 22:55:20.807000,2023-10-15 22:56:30,2094.682,2163.875,69.193,7,13_nonword
COMPILING,2023-10-15 22:56:30,2023-10-15 22:56:32.426000,2163.875,2166.301,2.426,7,13_nonword
OUTPUT COMPREHENSION,2023-10-15 22:56:32.426000,2023-10-15 22:56:39.395000,2166.301,2173.27,6.969,7,13_nonword
CODE EDITING,2023-10-15 22:56:39.395000,2023-10-15 22:57:46,2173.27,2239.875,66.605,7,13_nonword
COMPILING,2023-10-15 22:57:46,2023-10-15 22:59:34.809000,2239.875,2348.684,108.809,7,13_nonword
CODE EDITING,2023-10-15 22:59:34.809000,2023-10-15 22:59:53,2348.684,2366.875,18.191,8,121_simple
COMPILING,2023-10-15 22:59:53,2023-10-15 22:59:58.907000,2366.875,2372.782,5.907,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 22:59:58.907000,2023-10-15 23:00:03,2372.782,2376.875,4.093,8,121_simple
COMPILING,2023-10-15 23:00:03,2023-10-15 23:00:05.934000,2376.875,2379.809,2.934,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:00:05.934000,2023-10-15 23:00:21.454000,2379.809,2395.329,15.52,8,121_simple
CODE EDITING,2023-10-15 23:00:21.454000,2023-10-15 23:00:26,2395.329,2399.875,4.546,8,121_simple
COMPILING,2023-10-15 23:00:26,2023-10-15 23:00:30.999000,2399.875,2404.874,4.999,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:00:30.999000,2023-10-15 23:00:35.677000,2404.874,2409.552,4.678,8,121_simple
CODE EDITING,2023-10-15 23:00:35.677000,2023-10-15 23:00:41,2409.552,2414.875,5.323,8,121_simple
COMPILING,2023-10-15 23:00:41,2023-10-15 23:00:44.036000,2414.875,2417.911,3.036,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:00:44.036000,2023-10-15 23:00:47.045000,2417.911,2420.92,3.009,8,121_simple
CODE EDITING,2023-10-15 23:00:47.045000,2023-10-15 23:00:58,2420.92,2431.875,10.955,8,121_simple
COMPILING,2023-10-15 23:00:58,2023-10-15 23:01:01.088000,2431.875,2434.963,3.088,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:01:01.088000,2023-10-15 23:01:07.361000,2434.963,2441.236,6.273,8,121_simple
CODE EDITING,2023-10-15 23:01:07.361000,2023-10-15 23:01:21,2441.236,2454.875,13.639,8,121_simple
COMPILING,2023-10-15 23:01:21,2023-10-15 23:01:24.136000,2454.875,2458.011,3.136,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:01:24.136000,2023-10-15 23:01:28.641000,2458.011,2462.516,4.505,8,121_simple
CODE EDITING,2023-10-15 23:01:28.641000,2023-10-15 23:01:31,2462.516,2464.875,2.359,8,121_simple
COMPILING,2023-10-15 23:01:31,2023-10-15 23:01:33.150000,2464.875,2467.025,2.15,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:01:33.150000,2023-10-15 23:01:52.469000,2467.025,2486.344,19.319,8,121_simple
CODE EDITING,2023-10-15 23:01:52.469000,2023-10-15 23:02:06,2486.344,2499.875,13.531,8,121_simple
COMPILING,2023-10-15 23:02:06,2023-10-15 23:02:09.222000,2499.875,2503.097,3.222,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:02:09.222000,2023-10-15 23:02:12.368000,2503.097,2506.243,3.146,8,121_simple
CODE EDITING,2023-10-15 23:02:12.368000,2023-10-15 23:02:15,2506.243,2508.875,2.632,8,121_simple
COMPILING,2023-10-15 23:02:15,2023-10-15 23:02:17.254000,2508.875,2511.129,2.254,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:02:17.254000,2023-10-15 23:02:31,2511.129,2524.875,13.746,8,121_simple
COMPILING,2023-10-15 23:02:31,2023-10-15 23:02:34.287000,2524.875,2528.162,3.287,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:02:34.287000,2023-10-15 23:02:49.940000,2528.162,2543.815,15.653,8,121_simple
CODE EDITING,2023-10-15 23:02:49.940000,2023-10-15 23:03:11,2543.815,2564.875,21.06,8,121_simple
COMPILING,2023-10-15 23:03:11,2023-10-15 23:03:13.386000,2564.875,2567.261,2.386,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:03:13.386000,2023-10-15 23:03:18.458000,2567.261,2572.333,5.072,8,121_simple
CODE EDITING,2023-10-15 23:03:18.458000,2023-10-15 23:03:24,2572.333,2577.875,5.542,8,121_simple
COMPILING,2023-10-15 23:03:24,2023-10-15 23:03:29.446000,2577.875,2583.321,5.446,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:03:29.446000,2023-10-15 23:03:42.637000,2583.321,2596.512,13.191,8,121_simple
CODE EDITING,2023-10-15 23:03:42.637000,2023-10-15 23:03:50,2596.512,2603.875,7.363,8,121_simple
COMPILING,2023-10-15 23:03:50,2023-10-15 23:03:53.502000,2603.875,2607.377,3.502,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:03:53.502000,2023-10-15 23:04:01.141000,2607.377,2615.016,7.639,8,121_simple
CODE EDITING,2023-10-15 23:04:01.141000,2023-10-15 23:04:07,2615.016,2620.875,5.859,8,121_simple
COMPILING,2023-10-15 23:04:07,2023-10-15 23:04:09.613000,2620.875,2623.488,2.613,8,121_simple
OUTPUT COMPREHENSION,2023-10-15 23:04:09.613000,2023-10-15 23:04:15.088000,2623.488,2628.963,5.475,8,121_simple
