State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-10 13:41:18.100000,2023-06-10 13:41:42.892000,0.0,24.792,24.792,0,0
TASK COMPREHENSION,2023-06-10 13:41:42.892000,2023-06-10 13:42:00.995000,24.792,42.895,18.103,1,121_nonword
FAULT LOCALIZATION,2023-06-10 13:42:00.995000,2023-06-10 13:43:01.553000,42.895,103.453,60.558,1,121_nonword
CODE EDITING,2023-06-10 13:43:01.553000,2023-06-10 13:44:21,103.453,182.9,79.447,1,121_nonword
COMPILING,2023-06-10 13:44:21,2023-06-10 13:44:30.295000,182.9,192.195,9.295,1,121_nonword
OUTPUT COMPREHENSION,2023-06-10 13:44:30.295000,2023-06-10 13:44:39.317000,192.195,201.217,9.022,1,121_nonword
TASK COMPREHENSION,2023-06-10 13:44:39.317000,2023-06-10 13:44:42.319000,201.217,204.219,3.002,2,104_complex
FAULT LOCALIZATION,2023-06-10 13:44:42.319000,2023-06-10 13:46:03.128000,204.219,285.028,80.809,2,104_complex
CODE EDITING,2023-06-10 13:46:03.128000,2023-06-10 13:46:26,285.028,307.9,22.872,2,104_complex
COMPILING,2023-06-10 13:46:26,2023-06-10 13:46:30.498000,307.9,312.398,4.498,2,104_complex
OUTPUT COMPREHENSION,2023-06-10 13:46:30.498000,2023-06-10 13:46:37.737000,312.398,319.637,7.239,2,104_complex
CODE EDITING,2023-06-10 13:46:37.737000,2023-06-10 13:46:42,319.637,323.9,4.263,2,104_complex
COMPILING,2023-06-10 13:46:42,2023-06-10 13:46:45.539000,323.9,327.439,3.539,2,104_complex
OUTPUT COMPREHENSION,2023-06-10 13:46:45.539000,2023-06-10 13:46:46.392000,327.439,328.292,0.853,2,104_complex
CODE EDITING,2023-06-10 13:46:46.392000,2023-06-10 13:46:53.545000,328.292,335.445,7.153,2,104_complex
TASK COMPREHENSION,2023-06-10 13:46:53.545000,2023-06-10 13:46:54.570000,335.445,336.47,1.025,3,1_simple
FAULT LOCALIZATION,2023-06-10 13:46:54.570000,2023-06-10 13:47:48.896000,336.47,390.796,54.326,3,1_simple
CODE EDITING,2023-06-10 13:47:48.896000,2023-06-10 13:48:54,390.796,455.9,65.104,3,1_simple
COMPILING,2023-06-10 13:48:54,2023-06-10 13:48:56.739000,455.9,458.639,2.739,3,1_simple
OUTPUT COMPREHENSION,2023-06-10 13:48:56.739000,2023-06-10 13:48:57.856000,458.639,459.756,1.117,3,1_simple
CODE EDITING,2023-06-10 13:48:57.856000,2023-06-10 13:49:01,459.756,462.9,3.144,3,1_simple
COMPILING,2023-06-10 13:49:01,2023-06-10 13:49:04.769000,462.9,466.669,3.769,3,1_simple
OUTPUT COMPREHENSION,2023-06-10 13:49:04.769000,2023-06-10 13:49:05.411000,466.669,467.311,0.642,3,1_simple
CODE EDITING,2023-06-10 13:49:05.411000,2023-06-10 13:49:12.775000,467.311,474.675,7.364,3,1_simple
