State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-12 15:27:53.345000,2023-10-12 15:27:54.457000,0.0,1.112,1.112,0,0
TASK COMPREHENSION,2023-10-12 15:27:54.457000,2023-10-12 15:28:11.488000,1.112,18.143,17.031,1,118_original
FAULT LOCALIZATION,2023-10-12 15:28:11.488000,2023-10-12 15:29:34.512000,18.143,101.167,83.024,1,118_original
CODE EDITING,2023-10-12 15:29:34.512000,2023-10-12 15:31:12,101.167,198.655,97.488,1,118_original
COMPILING,2023-10-12 15:31:12,2023-10-12 15:31:15.823000,198.655,202.478,3.823,1,118_original
OUTPUT COMPREHENSION,2023-10-12 15:31:15.823000,2023-10-12 15:31:20,202.478,206.655,4.177,1,118_original
COMPILING,2023-10-12 15:31:20,2023-10-12 15:31:24.833000,206.655,211.488,4.833,1,118_original
OUTPUT COMPREHENSION,2023-10-12 15:31:24.833000,2023-10-12 15:31:34.849000,211.488,221.504,10.016,1,118_original
TASK COMPREHENSION,2023-10-12 15:31:34.849000,2023-10-12 15:32:09.911000,221.504,256.566,35.062,2,121_simple
FAULT LOCALIZATION,2023-10-12 15:32:09.911000,2023-10-12 15:32:34.944000,256.566,281.599,25.033,2,121_simple
CODE EDITING,2023-10-12 15:32:34.944000,2023-10-12 15:33:01,281.599,307.655,26.056,2,121_simple
COMPILING,2023-10-12 15:33:01,2023-10-12 15:33:06.026000,307.655,312.681,5.026,2,121_simple
OUTPUT COMPREHENSION,2023-10-12 15:33:06.026000,2023-10-12 15:33:18.051000,312.681,324.706,12.025,2,121_simple
TASK COMPREHENSION,2023-10-12 15:33:18.051000,2023-10-12 15:33:38.072000,324.706,344.727,20.021,3,203_complex
FAULT LOCALIZATION,2023-10-12 15:33:38.072000,2023-10-12 15:34:04.412000,344.727,371.067,26.34,3,203_complex
CODE EDITING,2023-10-12 15:34:04.412000,2023-10-12 15:34:51,371.067,417.655,46.588,3,203_complex
COMPILING,2023-10-12 15:34:51,2023-10-12 15:34:56.177000,417.655,422.832,5.177,3,203_complex
OUTPUT COMPREHENSION,2023-10-12 15:34:56.177000,2023-10-12 15:35:09,422.832,435.655,12.823,3,203_complex
COMPILING,2023-10-12 15:35:09,2023-10-12 15:35:14.207000,435.655,440.862,5.207,3,203_complex
OUTPUT COMPREHENSION,2023-10-12 15:35:14.207000,2023-10-12 15:35:24.224000,440.862,450.879,10.017,3,203_complex
TASK COMPREHENSION,2023-10-12 15:35:24.224000,2023-10-12 15:36:05.270000,450.879,491.925,41.046,4,35_original
FAULT LOCALIZATION,2023-10-12 15:36:05.270000,2023-10-12 15:36:11.306000,491.925,497.961,6.036,4,35_original
CODE EDITING,2023-10-12 15:36:11.306000,2023-10-12 15:36:37,497.961,523.655,25.694,4,35_original
COMPILING,2023-10-12 15:36:37,2023-10-12 15:36:41.356000,523.655,528.011,4.356,4,35_original
OUTPUT COMPREHENSION,2023-10-12 15:36:41.356000,2023-10-12 15:36:55.384000,528.011,542.039,14.028,4,35_original
TASK COMPREHENSION,2023-10-12 15:36:55.384000,2023-10-12 15:37:54.454000,542.039,601.109,59.07,5,108_simple
FAULT LOCALIZATION,2023-10-12 15:37:54.454000,2023-10-12 15:38:28.303000,601.109,634.958,33.849,5,108_simple
CODE EDITING,2023-10-12 15:38:28.303000,2023-10-12 15:39:43,634.958,709.655,74.697,5,108_simple
COMPILING,2023-10-12 15:39:43,2023-10-12 15:39:47.647000,709.655,714.302,4.647,5,108_simple
OUTPUT COMPREHENSION,2023-10-12 15:39:47.647000,2023-10-12 15:40:27,714.302,753.655,39.353,5,108_simple
COMPILING,2023-10-12 15:40:27,2023-10-12 15:40:31.720000,753.655,758.375,4.72,5,108_simple
OUTPUT COMPREHENSION,2023-10-12 15:40:31.720000,2023-10-12 15:40:37.710000,758.375,764.365,5.99,5,108_simple
CODE EDITING,2023-10-12 15:40:37.710000,2023-10-12 15:41:09,764.365,795.655,31.29,5,108_simple
