State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-13 18:35:12.500000,2023-06-13 18:35:20.729000,0.0,8.229,8.229,0,0
TASK COMPREHENSION,2023-06-13 18:35:20.729000,2023-06-13 18:36:03.855000,8.229,51.355,43.126,1,1_complex
FAULT LOCALIZATION,2023-06-13 18:36:03.855000,2023-06-13 18:37:03.793000,51.355,111.293,59.938,1,1_complex
CODE EDITING,2023-06-13 18:37:03.793000,2023-06-13 18:39:04,111.293,231.5,120.207,1,1_complex
COMPILING,2023-06-13 18:39:04,2023-06-13 18:39:08.260000,231.5,235.76,4.26,1,1_complex
OUTPUT COMPREHENSION,2023-06-13 18:39:08.260000,2023-06-13 18:39:17.269000,235.76,244.769,9.009,1,1_complex
TASK COMPREHENSION,2023-06-13 18:39:17.269000,2023-06-13 18:39:48.308000,244.769,275.808,31.039,2,104_simple
FAULT LOCALIZATION,2023-06-13 18:39:48.308000,2023-06-13 18:41:02.615000,275.808,350.115,74.307,2,104_simple
CODE EDITING,2023-06-13 18:41:02.615000,2023-06-13 18:44:58,350.115,585.5,235.385,2,104_simple
COMPILING,2023-06-13 18:44:58,2023-06-13 18:45:01.014000,585.5,588.514,3.014,2,104_simple
OUTPUT COMPREHENSION,2023-06-13 18:45:01.014000,2023-06-13 18:45:28.146000,588.514,615.646,27.132,2,104_simple
CODE EDITING,2023-06-13 18:45:28.146000,2023-06-13 18:45:55,615.646,642.5,26.854,2,104_simple
COMPILING,2023-06-13 18:45:55,2023-06-13 18:45:59.151000,642.5,646.651,4.151,2,104_simple
OUTPUT COMPREHENSION,2023-06-13 18:45:59.151000,2023-06-13 18:46:33.696000,646.651,681.196,34.545,2,104_simple
CODE EDITING,2023-06-13 18:46:33.696000,2023-06-13 18:46:54,681.196,701.5,20.304,2,104_simple
COMPILING,2023-06-13 18:46:54,2023-06-13 18:46:56.259000,701.5,703.759,2.259,2,104_simple
OUTPUT COMPREHENSION,2023-06-13 18:46:56.259000,2023-06-13 18:47:02.264000,703.759,709.764,6.005,2,104_simple
TASK COMPREHENSION,2023-06-13 18:47:02.264000,2023-06-13 18:47:32.298000,709.764,739.798,30.034,3,118_complex
FAULT LOCALIZATION,2023-06-13 18:47:32.298000,2023-06-13 18:47:50.114000,739.798,757.614,17.816,3,118_complex
CODE EDITING,2023-06-13 18:47:50.114000,2023-06-13 18:54:42.897000,757.614,1170.397,412.783,3,118_complex
TASK COMPREHENSION,2023-06-13 18:54:42.897000,2023-06-13 18:55:48.998000,1170.397,1236.498,66.101,4,66_simple
FAULT LOCALIZATION,2023-06-13 18:55:48.998000,2023-06-13 18:55:51.666000,1236.498,1239.166,2.668,4,66_simple
CODE EDITING,2023-06-13 18:55:51.666000,2023-06-13 18:57:07,1239.166,1314.5,75.334,4,66_simple
COMPILING,2023-06-13 18:57:07,2023-06-13 18:57:12.156000,1314.5,1319.656,5.156,4,66_simple
OUTPUT COMPREHENSION,2023-06-13 18:57:12.156000,2023-06-13 18:57:18.161000,1319.656,1325.661,6.005,4,66_simple
TASK COMPREHENSION,2023-06-13 18:57:18.161000,2023-06-13 18:57:43.266000,1325.661,1350.766,25.105,5,112_original
FAULT LOCALIZATION,2023-06-13 18:57:43.266000,2023-06-13 18:57:46.893000,1350.766,1354.393,3.627,5,112_original
CODE EDITING,2023-06-13 18:57:46.893000,2023-06-13 19:00:19,1354.393,1506.5,152.107,5,112_original
COMPILING,2023-06-13 19:00:19,2023-06-13 19:00:22.540000,1506.5,1510.04,3.54,5,112_original
OUTPUT COMPREHENSION,2023-06-13 19:00:22.540000,2023-06-13 19:00:42.349000,1510.04,1529.849,19.809,5,112_original
CODE EDITING,2023-06-13 19:00:42.349000,2023-06-13 19:01:13,1529.849,1560.5,30.651,5,112_original
COMPILING,2023-06-13 19:01:13,2023-06-13 19:01:15.639000,1560.5,1563.139,2.639,5,112_original
OUTPUT COMPREHENSION,2023-06-13 19:01:15.639000,2023-06-13 19:02:29.706000,1563.139,1637.206,74.067,5,112_original
TASK COMPREHENSION,2023-06-13 19:02:29.706000,2023-06-13 19:02:59.826000,1637.206,1667.326,30.12,6,144_original
FAULT LOCALIZATION,2023-06-13 19:02:59.826000,2023-06-13 19:03:05.103000,1667.326,1672.603,5.277,6,144_original
CODE EDITING,2023-06-13 19:03:05.103000,2023-06-13 19:03:56,1672.603,1723.5,50.897,6,144_original
