State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-05-18 18:18:31.340000,2023-05-18 18:18:41.786000,0.0,10.446,10.446,0,0
TASK COMPREHENSION,2023-05-18 18:18:41.786000,2023-05-18 18:18:44.639000,10.446,13.299,2.853,1,121_original
FAULT LOCALIZATION,2023-05-18 18:18:44.639000,2023-05-18 18:19:37.020000,13.299,65.68,52.381,1,121_original
CODE EDITING,2023-05-18 18:19:37.020000,2023-05-18 18:19:52,65.68,80.66,14.98,1,121_original
COMPILING,2023-05-18 18:19:52,2023-05-18 18:19:54.826000,80.66,83.486,2.826,1,121_original
OUTPUT COMPREHENSION,2023-05-18 18:19:54.826000,2023-05-18 18:19:59.325000,83.486,87.985,4.499,1,121_original
CODE EDITING,2023-05-18 18:19:59.325000,2023-05-18 18:21:56,87.985,204.66,116.675,1,121_original
COMPILING,2023-05-18 18:21:56,2023-05-18 18:22:00.039000,204.66,208.699,4.039,1,121_original
OUTPUT COMPREHENSION,2023-05-18 18:22:00.039000,2023-05-18 18:22:06.048000,208.699,214.708,6.009,1,121_original
TASK COMPREHENSION,2023-05-18 18:22:06.048000,2023-05-18 18:22:07.061000,214.708,215.721,1.013,2,118_nonword
FAULT LOCALIZATION,2023-05-18 18:22:07.061000,2023-05-18 18:23:08.287000,215.721,276.947,61.226,2,118_nonword
CODE EDITING,2023-05-18 18:23:08.287000,2023-05-18 18:24:41,276.947,369.66,92.713,2,118_nonword
COMPILING,2023-05-18 18:24:41,2023-05-18 18:24:44.316000,369.66,372.976,3.316,2,118_nonword
OUTPUT COMPREHENSION,2023-05-18 18:24:44.316000,2023-05-18 18:24:47,372.976,375.66,2.684,2,118_nonword
COMPILING,2023-05-18 18:24:47,2023-05-18 18:24:50.342000,375.66,379.002,3.342,2,118_nonword
OUTPUT COMPREHENSION,2023-05-18 18:24:50.342000,2023-05-18 18:25:03.364000,379.002,392.024,13.022,2,118_nonword
TASK COMPREHENSION,2023-05-18 18:25:03.364000,2023-05-18 18:25:04.365000,392.024,393.025,1.001,3,136_simple
FAULT LOCALIZATION,2023-05-18 18:25:04.365000,2023-05-18 18:25:50.862000,393.025,439.522,46.497,3,136_simple
CODE EDITING,2023-05-18 18:25:50.862000,2023-05-18 18:25:56,439.522,444.66,5.138,3,136_simple
COMPILING,2023-05-18 18:25:56,2023-05-18 18:25:58.494000,444.66,447.154,2.494,3,136_simple
OUTPUT COMPREHENSION,2023-05-18 18:25:58.494000,2023-05-18 18:26:12,447.154,460.66,13.506,3,136_simple
COMPILING,2023-05-18 18:26:12,2023-05-18 18:26:14.551000,460.66,463.211,2.551,3,136_simple
