State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
TASK COMPREHENSION,2023-10-13 19:20:34.247000,2023-10-13 19:20:35.491000,0.0,1.244,1.244,1,121_nonword
FAULT LOCALIZATION,2023-10-13 19:20:35.491000,2023-10-13 19:21:31.700000,1.244,57.453,56.209,1,121_nonword
CODE EDITING,2023-10-13 19:21:31.700000,2023-10-13 19:24:18,57.453,223.753,166.3,1,121_nonword
COMPILING,2023-10-13 19:24:18,2023-10-13 19:24:21.738000,223.753,227.491,3.738,1,121_nonword
OUTPUT COMPREHENSION,2023-10-13 19:24:21.738000,2023-10-13 19:26:00.821000,227.491,326.574,99.083,1,121_nonword
CODE EDITING,2023-10-13 19:26:00.821000,2023-10-13 19:27:04,326.574,389.753,63.179,1,121_nonword
COMPILING,2023-10-13 19:27:04,2023-10-13 19:27:06.980000,389.753,392.733,2.98,1,121_nonword
OUTPUT COMPREHENSION,2023-10-13 19:27:06.980000,2023-10-13 19:28:09.147000,392.733,454.9,62.167,1,121_nonword
CODE EDITING,2023-10-13 19:28:09.147000,2023-10-13 19:28:40,454.9,485.753,30.853,1,121_nonword
COMPILING,2023-10-13 19:28:40,2023-10-13 19:28:43.120000,485.753,488.873,3.12,1,121_nonword
OUTPUT COMPREHENSION,2023-10-13 19:28:43.120000,2023-10-13 19:28:56.149000,488.873,501.902,13.029,1,121_nonword
IDLE,2023-10-13 19:28:56.149000,2023-10-13 19:30:18.658000,501.902,584.411,82.509,2,66_simple
CODE EDITING,2023-10-13 19:30:18.658000,2023-10-13 19:31:43,584.411,668.753,84.342,2,66_simple
COMPILING,2023-10-13 19:31:43,2023-10-13 19:31:46.402000,668.753,672.155,3.402,2,66_simple
OUTPUT COMPREHENSION,2023-10-13 19:31:46.402000,2023-10-13 19:32:00.423000,672.155,686.176,14.021,2,66_simple
TASK COMPREHENSION,2023-10-13 19:32:00.423000,2023-10-13 19:32:01.429000,686.176,687.182,1.006,3,13_complex
FAULT LOCALIZATION,2023-10-13 19:32:01.429000,2023-10-13 19:33:05.358000,687.182,751.111,63.929,3,13_complex
CODE EDITING,2023-10-13 19:33:05.358000,2023-10-13 19:34:18,751.111,823.753,72.642,3,13_complex
COMPILING,2023-10-13 19:34:18,2023-10-13 19:34:21.634000,823.753,827.387,3.634,3,13_complex
OUTPUT COMPREHENSION,2023-10-13 19:34:21.634000,2023-10-13 19:34:28.627000,827.387,834.38,6.993,3,13_complex
CODE EDITING,2023-10-13 19:34:28.627000,2023-10-13 19:36:02,834.38,927.753,93.373,3,13_complex
