State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
TASK COMPREHENSION,2023-11-02 22:03:33.043000,2023-11-02 22:03:34.130000,0.0,1.087,1.087,7,136_complex
FAULT LOCALIZATION,2023-11-02 22:03:34.130000,2023-11-02 22:03:57.135000,1.087,24.092,23.005,7,136_complex
CODE EDITING,2023-11-02 22:03:57.135000,2023-11-02 22:07:30,24.092,236.957,212.865,7,136_complex
COMPILING,2023-11-02 22:07:30,2023-11-02 22:07:35.480000,236.957,242.437,5.48,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:07:35.480000,2023-11-02 22:07:45.119000,242.437,252.076,9.639,7,136_complex
CODE EDITING,2023-11-02 22:07:45.119000,2023-11-02 22:07:49,252.076,255.957,3.881,7,136_complex
COMPILING,2023-11-02 22:07:49,2023-11-02 22:07:53.510000,255.957,260.467,4.51,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:07:53.510000,2023-11-02 22:08:06.940000,260.467,273.897,13.43,7,136_complex
CODE EDITING,2023-11-02 22:08:06.940000,2023-11-02 22:08:32,273.897,298.957,25.06,7,136_complex
COMPILING,2023-11-02 22:08:32,2023-11-02 22:08:37.551000,298.957,304.508,5.551,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:08:37.551000,2023-11-02 22:08:49.331000,304.508,316.288,11.78,7,136_complex
CODE EDITING,2023-11-02 22:08:49.331000,2023-11-02 22:09:31,316.288,357.957,41.669,7,136_complex
COMPILING,2023-11-02 22:09:31,2023-11-02 22:09:35.662000,357.957,362.619,4.662,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:09:35.662000,2023-11-02 22:09:57.626000,362.619,384.583,21.964,7,136_complex
CODE EDITING,2023-11-02 22:09:57.626000,2023-11-02 22:10:19,384.583,405.957,21.374,7,136_complex
COMPILING,2023-11-02 22:10:19,2023-11-02 22:10:27.778000,405.957,414.735,8.778,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:10:27.778000,2023-11-02 22:10:37.256000,414.735,424.213,9.478,7,136_complex
CODE EDITING,2023-11-02 22:10:37.256000,2023-11-02 22:11:20,424.213,466.957,42.744,7,136_complex
COMPILING,2023-11-02 22:11:20,2023-11-02 22:11:25.878000,466.957,472.835,5.878,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:11:25.878000,2023-11-02 22:11:34.833000,472.835,481.79,8.955,7,136_complex
CODE EDITING,2023-11-02 22:11:34.833000,2023-11-02 22:11:44,481.79,490.957,9.167,7,136_complex
COMPILING,2023-11-02 22:11:44,2023-11-02 22:11:50.927000,490.957,497.884,6.927,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:11:50.927000,2023-11-02 22:12:05.425000,497.884,512.382,14.498,7,136_complex
CODE EDITING,2023-11-02 22:12:05.425000,2023-11-02 22:13:04,512.382,570.957,58.575,7,136_complex
COMPILING,2023-11-02 22:13:04,2023-11-02 22:13:10.065000,570.957,577.022,6.065,7,136_complex
OUTPUT COMPREHENSION,2023-11-02 22:13:10.065000,2023-11-02 22:13:43.478000,577.022,610.435,33.413,7,136_complex
CODE EDITING,2023-11-02 22:13:43.478000,2023-11-02 22:14:06.218000,610.435,633.175,22.74,7,136_complex
TASK COMPREHENSION,2023-11-02 22:14:06.218000,2023-11-02 22:14:07.218000,633.175,634.175,1.0,8,1_simple
FAULT LOCALIZATION,2023-11-02 22:14:07.218000,2023-11-02 22:16:03.509000,634.175,750.466,116.291,8,1_simple
CODE EDITING,2023-11-02 22:16:03.509000,2023-11-02 22:16:18,750.466,764.957,14.491,8,1_simple
COMPILING,2023-11-02 22:16:18,2023-11-02 22:16:25.472000,764.957,772.429,7.472,8,1_simple
OUTPUT COMPREHENSION,2023-11-02 22:16:25.472000,2023-11-02 22:17:45.625000,772.429,852.582,80.153,8,1_simple
CODE EDITING,2023-11-02 22:17:45.625000,2023-11-02 22:17:54,852.582,860.957,8.375,8,1_simple
COMPILING,2023-11-02 22:17:54,2023-11-02 22:17:57.647000,860.957,864.604,3.647,8,1_simple
OUTPUT COMPREHENSION,2023-11-02 22:17:57.647000,2023-11-02 22:18:57.427000,864.604,924.384,59.78,8,1_simple
CODE EDITING,2023-11-02 22:18:57.427000,2023-11-02 22:19:15,924.384,941.957,17.573,8,1_simple
COMPILING,2023-11-02 22:19:15,2023-11-02 22:19:18.786000,941.957,945.743,3.786,8,1_simple
OUTPUT COMPREHENSION,2023-11-02 22:19:18.786000,2023-11-02 22:19:29.274000,945.743,956.231,10.488,8,1_simple
CODE EDITING,2023-11-02 22:19:29.274000,2023-11-02 22:20:48,956.231,1034.957,78.726,8,1_simple
COMPILING,2023-11-02 22:20:48,2023-11-02 22:20:53.980000,1034.957,1040.937,5.98,8,1_simple
OUTPUT COMPREHENSION,2023-11-02 22:20:53.980000,2023-11-02 22:20:57.990000,1040.937,1044.947,4.01,8,1_simple
