State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-09-06 22:56:49.760000,2023-09-06 22:56:50.625000,0.0,0.865,0.865,0,0
TASK COMPREHENSION,2023-09-06 22:56:50.625000,2023-09-06 22:57:28.671000,0.865,38.911,38.046,1,108_complex
FAULT LOCALIZATION,2023-09-06 22:57:28.671000,2023-09-06 22:58:32.388000,38.911,102.628,63.717,1,108_complex
CODE EDITING,2023-09-06 22:58:32.388000,2023-09-06 22:59:13,102.628,143.24,40.612,1,108_complex
COMPILING,2023-09-06 22:59:13,2023-09-06 22:59:16.826000,143.24,147.066,3.826,1,108_complex
OUTPUT COMPREHENSION,2023-09-06 22:59:16.826000,2023-09-06 22:59:43.387000,147.066,173.627,26.561,1,108_complex
CODE EDITING,2023-09-06 22:59:43.387000,2023-09-06 22:59:56,173.627,186.24,12.613,1,108_complex
COMPILING,2023-09-06 22:59:56,2023-09-06 22:59:59.923000,186.24,190.163,3.923,1,108_complex
OUTPUT COMPREHENSION,2023-09-06 22:59:59.923000,2023-09-06 23:00:05.935000,190.163,196.175,6.012,1,108_complex
TASK COMPREHENSION,2023-09-06 23:00:05.935000,2023-09-06 23:00:10.940000,196.175,201.18,5.005,2,118_original
FAULT LOCALIZATION,2023-09-06 23:00:10.940000,2023-09-06 23:00:38.589000,201.18,228.829,27.649,2,118_original
CODE EDITING,2023-09-06 23:00:38.589000,2023-09-06 23:01:42,228.829,292.24,63.411,2,118_original
COMPILING,2023-09-06 23:01:42,2023-09-06 23:01:45.120000,292.24,295.36,3.12,2,118_original
OUTPUT COMPREHENSION,2023-09-06 23:01:45.120000,2023-09-06 23:01:51.133000,295.36,301.373,6.013,2,118_original
TASK COMPREHENSION,2023-09-06 23:01:51.133000,2023-09-06 23:02:22.164000,301.373,332.404,31.031,3,121_original
FAULT LOCALIZATION,2023-09-06 23:02:22.164000,2023-09-06 23:02:55.399000,332.404,365.639,33.235,3,121_original
CODE EDITING,2023-09-06 23:02:55.399000,2023-09-06 23:03:18,365.639,388.24,22.601,3,121_original
COMPILING,2023-09-06 23:03:18,2023-09-06 23:03:21.265000,388.24,391.505,3.265,3,121_original
OUTPUT COMPREHENSION,2023-09-06 23:03:21.265000,2023-09-06 23:03:26.274000,391.505,396.514,5.009,3,121_original
IDLE,2023-09-06 23:03:26.274000,2023-09-06 23:03:31.290000,396.514,401.53,5.016,4,203_nonword
TASK COMPREHENSION,2023-09-06 23:03:31.290000,2023-09-06 23:03:43.304000,401.53,413.544,12.014,4,203_nonword
FAULT LOCALIZATION,2023-09-06 23:03:43.304000,2023-09-06 23:04:35.436000,413.544,465.676,52.132,4,203_nonword
CODE EDITING,2023-09-06 23:04:35.436000,2023-09-06 23:05:08,465.676,498.24,32.564,4,203_nonword
COMPILING,2023-09-06 23:05:08,2023-09-06 23:05:10.405000,498.24,500.645,2.405,4,203_nonword
OUTPUT COMPREHENSION,2023-09-06 23:05:10.405000,2023-09-06 23:05:19.418000,500.645,509.658,9.013,4,203_nonword
TASK COMPREHENSION,2023-09-06 23:05:19.418000,2023-09-06 23:05:33.434000,509.658,523.674,14.016,5,169_simple
FAULT LOCALIZATION,2023-09-06 23:05:33.434000,2023-09-06 23:06:31.557000,523.674,581.797,58.123,5,169_simple
CODE EDITING,2023-09-06 23:06:31.557000,2023-09-06 23:06:55,581.797,605.24,23.443,5,169_simple
COMPILING,2023-09-06 23:06:55,2023-09-06 23:07:00.550000,605.24,610.79,5.55,5,169_simple
OUTPUT COMPREHENSION,2023-09-06 23:07:00.550000,2023-09-06 23:07:06.563000,610.79,616.803,6.013,5,169_simple
TASK COMPREHENSION,2023-09-06 23:07:06.563000,2023-09-06 23:07:39.600000,616.803,649.84,33.037,6,112_complex
FAULT LOCALIZATION,2023-09-06 23:07:39.600000,2023-09-06 23:08:29.075000,649.84,699.315,49.475,6,112_complex
CODE EDITING,2023-09-06 23:08:29.075000,2023-09-06 23:09:12,699.315,742.24,42.925,6,112_complex
COMPILING,2023-09-06 23:09:12,2023-09-06 23:09:16.785000,742.24,747.025,4.785,6,112_complex
OUTPUT COMPREHENSION,2023-09-06 23:09:16.785000,2023-09-06 23:09:22.790000,747.025,753.03,6.005,6,112_complex
TASK COMPREHENSION,2023-09-06 23:09:22.790000,2023-09-06 23:09:31.803000,753.03,762.043,9.013,7,104_nonword
FAULT LOCALIZATION,2023-09-06 23:09:31.803000,2023-09-06 23:11:34.998000,762.043,885.238,123.195,7,104_nonword
CODE EDITING,2023-09-06 23:11:34.998000,2023-09-06 23:12:02,885.238,912.24,27.002,7,104_nonword
COMPILING,2023-09-06 23:12:02,2023-09-06 23:12:06.026000,912.24,916.266,4.026,7,104_nonword
OUTPUT COMPREHENSION,2023-09-06 23:12:06.026000,2023-09-06 23:12:43.663000,916.266,953.903,37.637,7,104_nonword
CODE EDITING,2023-09-06 23:12:43.663000,2023-09-06 23:12:47,953.903,957.24,3.337,7,104_nonword
COMPILING,2023-09-06 23:12:47,2023-09-06 23:12:50.077000,957.24,960.317,3.077,7,104_nonword
OUTPUT COMPREHENSION,2023-09-06 23:12:50.077000,2023-09-06 23:12:55.090000,960.317,965.33,5.013,7,104_nonword
TASK COMPREHENSION,2023-09-06 23:12:55.090000,2023-09-06 23:13:09.103000,965.33,979.343,14.013,8,66_simple
FAULT LOCALIZATION,2023-09-06 23:13:09.103000,2023-09-06 23:13:45.520000,979.343,1015.76,36.417,8,66_simple
CODE EDITING,2023-09-06 23:13:45.520000,2023-09-06 23:14:00,1015.76,1030.24,14.48,8,66_simple
COMPILING,2023-09-06 23:14:00,2023-09-06 23:14:05.212000,1030.24,1035.452,5.212,8,66_simple
OUTPUT COMPREHENSION,2023-09-06 23:14:05.212000,2023-09-06 23:14:12.228000,1035.452,1042.468,7.016,8,66_simple
TASK COMPREHENSION,2023-09-06 23:14:12.228000,2023-09-06 23:14:25.242000,1042.468,1055.482,13.014,9,1_nonword
FAULT LOCALIZATION,2023-09-06 23:14:25.242000,2023-09-06 23:14:31.765000,1055.482,1062.005,6.523,9,1_nonword
CODE EDITING,2023-09-06 23:14:31.765000,2023-09-06 23:15:02,1062.005,1092.24,30.235,9,1_nonword
COMPILING,2023-09-06 23:15:02,2023-09-06 23:15:05.333000,1092.24,1095.573,3.333,9,1_nonword
OUTPUT COMPREHENSION,2023-09-06 23:15:05.333000,2023-09-06 23:15:08.336000,1095.573,1098.576,3.003,9,1_nonword
TASK COMPREHENSION,2023-09-06 23:15:08.336000,2023-09-06 23:15:13.350000,1098.576,1103.59,5.014,10,13_original
FAULT LOCALIZATION,2023-09-06 23:15:13.350000,2023-09-06 23:16:09.301000,1103.59,1159.541,55.951,10,13_original
CODE EDITING,2023-09-06 23:16:09.301000,2023-09-06 23:16:18,1159.541,1168.24,8.699,10,13_original
COMPILING,2023-09-06 23:16:18,2023-09-06 23:16:22.426000,1168.24,1172.666,4.426,10,13_original
OUTPUT COMPREHENSION,2023-09-06 23:16:22.426000,2023-09-06 23:16:29.580000,1172.666,1179.82,7.154,10,13_original
CODE EDITING,2023-09-06 23:16:29.580000,2023-09-06 23:16:34,1179.82,1184.24,4.42,10,13_original
COMPILING,2023-09-06 23:16:34,2023-09-06 23:16:37.475000,1184.24,1187.715,3.475,10,13_original
OUTPUT COMPREHENSION,2023-09-06 23:16:37.475000,2023-09-06 23:16:43.994000,1187.715,1194.234,6.519,10,13_original
CODE EDITING,2023-09-06 23:16:43.994000,2023-09-06 23:17:40,1194.234,1250.24,56.006,10,13_original
COMPILING,2023-09-06 23:17:40,2023-09-06 23:17:43.555000,1250.24,1253.795,3.555,10,13_original
OUTPUT COMPREHENSION,2023-09-06 23:17:43.555000,2023-09-06 23:17:48.560000,1253.795,1258.8,5.005,10,13_original
TASK COMPREHENSION,2023-09-06 23:17:48.560000,2023-09-06 23:17:58.582000,1258.8,1268.822,10.022,11,136_simple
FAULT LOCALIZATION,2023-09-06 23:17:58.582000,2023-09-06 23:18:04.253000,1268.822,1274.493,5.671,11,136_simple
CODE EDITING,2023-09-06 23:18:04.253000,2023-09-06 23:18:21,1274.493,1291.24,16.747,11,136_simple
COMPILING,2023-09-06 23:18:21,2023-09-06 23:18:24.655000,1291.24,1294.895,3.655,11,136_simple
OUTPUT COMPREHENSION,2023-09-06 23:18:24.655000,2023-09-06 23:18:30.229000,1294.895,1300.469,5.574,11,136_simple
CODE EDITING,2023-09-06 23:18:30.229000,2023-09-06 23:18:39,1300.469,1309.24,8.771,11,136_simple
COMPILING,2023-09-06 23:18:39,2023-09-06 23:18:44.698000,1309.24,1314.938,5.698,11,136_simple
OUTPUT COMPREHENSION,2023-09-06 23:18:44.698000,2023-09-06 23:18:48.700000,1314.938,1318.94,4.002,11,136_simple
TASK COMPREHENSION,2023-09-06 23:18:48.700000,2023-09-06 23:19:16.739000,1318.94,1346.979,28.039,12,144_complex
FAULT LOCALIZATION,2023-09-06 23:19:16.739000,2023-09-06 23:19:19.470000,1346.979,1349.71,2.731,12,144_complex
CODE EDITING,2023-09-06 23:19:19.470000,2023-09-06 23:19:28,1349.71,1358.24,8.53,12,144_complex
COMPILING,2023-09-06 23:19:28,2023-09-06 23:19:30.765000,1358.24,1361.005,2.765,12,144_complex
OUTPUT COMPREHENSION,2023-09-06 23:19:30.765000,2023-09-06 23:19:34.775000,1361.005,1365.015,4.01,12,144_complex
TASK COMPREHENSION,2023-09-06 23:19:34.775000,2023-09-06 23:19:36.778000,1365.015,1367.018,2.003,13,35_original
FAULT LOCALIZATION,2023-09-06 23:19:36.778000,2023-09-06 23:20:04.075000,1367.018,1394.315,27.297,13,35_original
CODE EDITING,2023-09-06 23:20:04.075000,2023-09-06 23:20:24,1394.315,1414.24,19.925,13,35_original
COMPILING,2023-09-06 23:20:24,2023-09-06 23:20:27.869000,1414.24,1418.109,3.869,13,35_original
OUTPUT COMPREHENSION,2023-09-06 23:20:27.869000,2023-09-06 23:20:27.869000,1418.109,1418.109,0.0,13,35_original
