State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-09-16 21:05:56.901000,2023-09-16 21:05:57.899000,0.0,0.998,0.998,0,0
TASK COMPREHENSION,2023-09-16 21:05:57.899000,2023-09-16 21:06:25.906000,0.998,29.005,28.007,1,144_complex
FAULT LOCALIZATION,2023-09-16 21:06:25.906000,2023-09-16 21:06:48.864000,29.005,51.963,22.958,1,144_complex
CODE EDITING,2023-09-16 21:06:48.864000,2023-09-16 21:09:13,51.963,196.099,144.136,1,144_complex
COMPILING,2023-09-16 21:09:13,2023-09-16 21:09:16.214000,196.099,199.313,3.214,1,144_complex
OUTPUT COMPREHENSION,2023-09-16 21:09:16.214000,2023-09-16 21:09:25.241000,199.313,208.34,9.027,1,144_complex
TASK COMPREHENSION,2023-09-16 21:09:25.241000,2023-09-16 21:09:27.244000,208.34,210.343,2.003,2,121_complex
FAULT LOCALIZATION,2023-09-16 21:09:27.244000,2023-09-16 21:10:43.709000,210.343,286.808,76.465,2,121_complex
CODE EDITING,2023-09-16 21:10:43.709000,2023-09-16 21:11:11,286.808,314.099,27.291,2,121_complex
COMPILING,2023-09-16 21:11:11,2023-09-16 21:11:14.447000,314.099,317.546,3.447,2,121_complex
OUTPUT COMPREHENSION,2023-09-16 21:11:14.447000,2023-09-16 21:11:19,317.546,322.099,4.553,2,121_complex
COMPILING,2023-09-16 21:11:19,2023-09-16 21:11:21.458000,322.099,324.557,2.458,2,121_complex
OUTPUT COMPREHENSION,2023-09-16 21:11:21.458000,2023-09-16 21:11:29.471000,324.557,332.57,8.013,2,121_complex
TASK COMPREHENSION,2023-09-16 21:11:29.471000,2023-09-16 21:11:30.477000,332.57,333.576,1.006,3,35_nonword
FAULT LOCALIZATION,2023-09-16 21:11:30.477000,2023-09-16 21:11:59.461000,333.576,362.56,28.984,3,35_nonword
CODE EDITING,2023-09-16 21:11:59.461000,2023-09-16 21:12:23,362.56,386.099,23.539,3,35_nonword
COMPILING,2023-09-16 21:12:23,2023-09-16 21:12:26.554000,386.099,389.653,3.554,3,35_nonword
OUTPUT COMPREHENSION,2023-09-16 21:12:26.554000,2023-09-16 21:12:32.573000,389.653,395.672,6.019,3,35_nonword
IDLE,2023-09-16 21:12:32.573000,2023-09-16 21:12:33.585000,395.672,396.684,1.012,4,203_complex
TASK COMPREHENSION,2023-09-16 21:12:33.585000,2023-09-16 21:12:41.593000,396.684,404.692,8.008,4,203_complex
FAULT LOCALIZATION,2023-09-16 21:12:41.593000,2023-09-16 21:12:54.775000,404.692,417.874,13.182,4,203_complex
CODE EDITING,2023-09-16 21:12:54.775000,2023-09-16 21:13:51,417.874,474.099,56.225,4,203_complex
COMPILING,2023-09-16 21:13:51,2023-09-16 21:13:53.659000,474.099,476.758,2.659,4,203_complex
OUTPUT COMPREHENSION,2023-09-16 21:13:53.659000,2023-09-16 21:14:01.682000,476.758,484.781,8.023,4,203_complex
TASK COMPREHENSION,2023-09-16 21:14:01.682000,2023-09-16 21:14:03.683000,484.781,486.782,2.001,5,118_original
FAULT LOCALIZATION,2023-09-16 21:14:03.683000,2023-09-16 21:14:39.407000,486.782,522.506,35.724,5,118_original
CODE EDITING,2023-09-16 21:14:39.407000,2023-09-16 21:16:58,522.506,661.099,138.593,5,118_original
COMPILING,2023-09-16 21:16:58,2023-09-16 21:17:01.974000,661.099,665.073,3.974,5,118_original
OUTPUT COMPREHENSION,2023-09-16 21:17:01.974000,2023-09-16 21:17:10.001000,665.073,673.1,8.027,5,118_original
IDLE,2023-09-16 21:17:10.001000,2023-09-16 21:17:13.008000,673.1,676.107,3.007,6,1_original
TASK COMPREHENSION,2023-09-16 21:17:13.008000,2023-09-16 21:17:33.036000,676.107,696.135,20.028,6,1_original
FAULT LOCALIZATION,2023-09-16 21:17:33.036000,2023-09-16 21:17:46.065000,696.135,709.164,13.029,6,1_original
CODE EDITING,2023-09-16 21:17:46.065000,2023-09-16 21:19:19,709.164,802.099,92.935,6,1_original
COMPILING,2023-09-16 21:19:19,2023-09-16 21:19:22.206000,802.099,805.305,3.206,6,1_original
OUTPUT COMPREHENSION,2023-09-16 21:19:22.206000,2023-09-16 21:19:33.131000,805.305,816.23,10.925,6,1_original
CODE EDITING,2023-09-16 21:19:33.131000,2023-09-16 21:19:40,816.23,823.099,6.869,6,1_original
COMPILING,2023-09-16 21:19:40,2023-09-16 21:19:46.242000,823.099,829.341,6.242,6,1_original
OUTPUT COMPREHENSION,2023-09-16 21:19:46.242000,2023-09-16 21:20:46.705000,829.341,889.804,60.463,6,1_original
CODE EDITING,2023-09-16 21:20:46.705000,2023-09-16 21:20:53,889.804,896.099,6.295,6,1_original
COMPILING,2023-09-16 21:20:53,2023-09-16 21:20:55.393000,896.099,898.492,2.393,6,1_original
