State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-13 21:20:13.670000,2023-10-13 21:20:14.686000,0.0,1.016,1.016,0,0
TASK COMPREHENSION,2023-10-13 21:20:14.686000,2023-10-13 21:20:15.695000,1.016,2.025,1.009,1,136_complex
FAULT LOCALIZATION,2023-10-13 21:20:15.695000,2023-10-13 21:20:36.188000,2.025,22.518,20.493,1,136_complex
CODE EDITING,2023-10-13 21:20:36.188000,2023-10-13 21:20:51,22.518,37.33,14.812,1,136_complex
COMPILING,2023-10-13 21:20:51,2023-10-13 21:20:53.848000,37.33,40.178,2.848,1,136_complex
OUTPUT COMPREHENSION,2023-10-13 21:20:53.848000,2023-10-13 21:21:18,40.178,64.33,24.152,1,136_complex
COMPILING,2023-10-13 21:21:18,2023-10-13 21:21:21.876000,64.33,68.206,3.876,1,136_complex
OUTPUT COMPREHENSION,2023-10-13 21:21:21.876000,2023-10-13 21:21:31.910000,68.206,78.24,10.034,1,136_complex
TASK COMPREHENSION,2023-10-13 21:21:31.910000,2023-10-13 21:21:32.912000,78.24,79.242,1.002,2,121_complex
FAULT LOCALIZATION,2023-10-13 21:21:32.912000,2023-10-13 21:22:05.808000,79.242,112.138,32.896,2,121_complex
CODE EDITING,2023-10-13 21:22:05.808000,2023-10-13 21:22:22,112.138,128.33,16.192,2,121_complex
COMPILING,2023-10-13 21:22:22,2023-10-13 21:22:26.124000,128.33,132.454,4.124,2,121_complex
OUTPUT COMPREHENSION,2023-10-13 21:22:26.124000,2023-10-13 21:22:34.895000,132.454,141.225,8.771,2,121_complex
CODE EDITING,2023-10-13 21:22:34.895000,2023-10-13 21:22:41,141.225,147.33,6.105,2,121_complex
COMPILING,2023-10-13 21:22:41,2023-10-13 21:22:44.199000,147.33,150.529,3.199,2,121_complex
OUTPUT COMPREHENSION,2023-10-13 21:22:44.199000,2023-10-13 21:23:39.485000,150.529,205.815,55.286,2,121_complex
CODE EDITING,2023-10-13 21:23:39.485000,2023-10-13 21:24:29,205.815,255.33,49.515,3,13_original
COMPILING,2023-10-13 21:24:29,2023-10-13 21:24:33.630000,255.33,259.96,4.63,3,13_original
OUTPUT COMPREHENSION,2023-10-13 21:24:33.630000,2023-10-13 21:24:49.401000,259.96,275.731,15.771,3,13_original
CODE EDITING,2023-10-13 21:24:49.401000,2023-10-13 21:25:05,275.731,291.33,15.599,3,13_original
COMPILING,2023-10-13 21:25:05,2023-10-13 21:25:07.688000,291.33,294.018,2.688,3,13_original
OUTPUT COMPREHENSION,2023-10-13 21:25:07.688000,2023-10-13 21:25:08.039000,294.018,294.369,0.351,3,13_original
CODE EDITING,2023-10-13 21:25:08.039000,2023-10-13 21:26:00,294.369,346.33,51.961,3,13_original
COMPILING,2023-10-13 21:26:00,2023-10-13 21:26:04.814000,346.33,351.144,4.814,3,13_original
OUTPUT COMPREHENSION,2023-10-13 21:26:04.814000,2023-10-13 21:26:11.214000,351.144,357.544,6.4,3,13_original
CODE EDITING,2023-10-13 21:26:11.214000,2023-10-13 21:26:28,357.544,374.33,16.786,3,13_original
COMPILING,2023-10-13 21:26:28,2023-10-13 21:26:31.919000,374.33,378.249,3.919,3,13_original
OUTPUT COMPREHENSION,2023-10-13 21:26:31.919000,2023-10-13 21:26:35.939000,378.249,382.269,4.02,3,13_original
TASK COMPREHENSION,2023-10-13 21:26:35.939000,2023-10-13 21:26:37.944000,382.269,384.274,2.005,4,66_nonword
FAULT LOCALIZATION,2023-10-13 21:26:37.944000,2023-10-13 21:27:02.100000,384.274,408.43,24.156,4,66_nonword
CODE EDITING,2023-10-13 21:27:02.100000,2023-10-13 21:27:30,408.43,436.33,27.9,4,66_nonword
COMPILING,2023-10-13 21:27:30,2023-10-13 21:27:35.231000,436.33,441.561,5.231,4,66_nonword
OUTPUT COMPREHENSION,2023-10-13 21:27:35.231000,2023-10-13 21:27:45.225000,441.561,451.555,9.994,4,66_nonword
CODE EDITING,2023-10-13 21:27:45.225000,2023-10-13 21:28:13,451.555,479.33,27.775,4,66_nonword
COMPILING,2023-10-13 21:28:13,2023-10-13 21:28:16.356000,479.33,482.686,3.356,4,66_nonword
OUTPUT COMPREHENSION,2023-10-13 21:28:16.356000,2023-10-13 21:28:24.303000,482.686,490.633,7.947,4,66_nonword
CODE EDITING,2023-10-13 21:28:24.303000,2023-10-13 21:29:19,490.633,545.33,54.697,4,66_nonword
COMPILING,2023-10-13 21:29:19,2023-10-13 21:29:23.599000,545.33,549.929,4.599,4,66_nonword
OUTPUT COMPREHENSION,2023-10-13 21:29:23.599000,2023-10-13 21:29:29.189000,549.929,555.519,5.59,4,66_nonword
CODE EDITING,2023-10-13 21:29:29.189000,2023-10-13 21:30:25,555.519,611.33,55.811,4,66_nonword
COMPILING,2023-10-13 21:30:25,2023-10-13 21:30:28.920000,611.33,615.25,3.92,4,66_nonword
OUTPUT COMPREHENSION,2023-10-13 21:30:28.920000,2023-10-13 21:30:32.922000,615.25,619.252,4.002,4,66_nonword
TASK COMPREHENSION,2023-10-13 21:30:32.922000,2023-10-13 21:30:33.925000,619.252,620.255,1.003,5,169_nonword
FAULT LOCALIZATION,2023-10-13 21:30:33.925000,2023-10-13 21:31:04.861000,620.255,651.191,30.936,5,169_nonword
CODE EDITING,2023-10-13 21:31:04.861000,2023-10-13 21:31:31,651.191,677.33,26.139,5,169_nonword
COMPILING,2023-10-13 21:31:31,2023-10-13 21:31:35.072000,677.33,681.402,4.072,5,169_nonword
OUTPUT COMPREHENSION,2023-10-13 21:31:35.072000,2023-10-13 21:31:39.075000,681.402,685.405,4.003,5,169_nonword
TASK COMPREHENSION,2023-10-13 21:31:39.075000,2023-10-13 21:31:40.092000,685.405,686.422,1.017,6,203_simple
FAULT LOCALIZATION,2023-10-13 21:31:40.092000,2023-10-13 21:32:00.073000,686.422,706.403,19.981,6,203_simple
CODE EDITING,2023-10-13 21:32:00.073000,2023-10-13 21:32:50,706.403,756.33,49.927,6,203_simple
COMPILING,2023-10-13 21:32:50,2023-10-13 21:32:54.332000,756.33,760.662,4.332,6,203_simple
