State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-09-10 18:28:59.450000,2023-09-10 18:29:02.583000,0.0,3.133,3.133,0,0
TASK COMPREHENSION,2023-09-10 18:29:02.583000,2023-09-10 18:29:19.687000,3.133,20.237,17.104,1,13_original
FAULT LOCALIZATION,2023-09-10 18:29:19.687000,2023-09-10 18:29:59.852000,20.237,60.402,40.165,1,13_original
CODE EDITING,2023-09-10 18:29:59.852000,2023-09-10 18:30:11,60.402,71.55,11.148,1,13_original
COMPILING,2023-09-10 18:30:11,2023-09-10 18:30:17.998000,71.55,78.548,6.998,1,13_original
OUTPUT COMPREHENSION,2023-09-10 18:30:17.998000,2023-09-10 18:30:33.078000,78.548,93.628,15.08,1,13_original
CODE EDITING,2023-09-10 18:30:33.078000,2023-09-10 18:33:05,93.628,245.55,151.922,1,13_original
COMPILING,2023-09-10 18:33:05,2023-09-10 18:33:08.220000,245.55,248.77,3.22,1,13_original
OUTPUT COMPREHENSION,2023-09-10 18:33:08.220000,2023-09-10 18:33:22.560000,248.77,263.11,14.34,1,13_original
CODE EDITING,2023-09-10 18:33:22.560000,2023-09-10 18:33:24,263.11,264.55,1.44,1,13_original
COMPILING,2023-09-10 18:33:24,2023-09-10 18:33:29.246000,264.55,269.796,5.246,1,13_original
OUTPUT COMPREHENSION,2023-09-10 18:33:29.246000,2023-09-10 18:33:41.795000,269.796,282.345,12.549,1,13_original
CODE EDITING,2023-09-10 18:33:41.795000,2023-09-10 18:33:50,282.345,290.55,8.205,1,13_original
COMPILING,2023-09-10 18:33:50,2023-09-10 18:33:53.285000,290.55,293.835,3.285,1,13_original
OUTPUT COMPREHENSION,2023-09-10 18:33:53.285000,2023-09-10 18:33:57.248000,293.835,297.798,3.963,1,13_original
CODE EDITING,2023-09-10 18:33:57.248000,2023-09-10 18:34:02,297.798,302.55,4.752,1,13_original
COMPILING,2023-09-10 18:34:02,2023-09-10 18:34:04.308000,302.55,304.858,2.308,1,13_original
OUTPUT COMPREHENSION,2023-09-10 18:34:04.308000,2023-09-10 18:34:15.318000,304.858,315.868,11.01,1,13_original
TASK COMPREHENSION,2023-09-10 18:34:15.318000,2023-09-10 18:34:16.328000,315.868,316.878,1.01,2,66_nonword
FAULT LOCALIZATION,2023-09-10 18:34:16.328000,2023-09-10 18:34:44.122000,316.878,344.672,27.794,2,66_nonword
CODE EDITING,2023-09-10 18:34:44.122000,2023-09-10 18:34:46,344.672,346.55,1.878,2,66_nonword
COMPILING,2023-09-10 18:34:46,2023-09-10 18:34:48.396000,346.55,348.946,2.396,2,66_nonword
OUTPUT COMPREHENSION,2023-09-10 18:34:48.396000,2023-09-10 18:34:54.335000,348.946,354.885,5.939,2,66_nonword
CODE EDITING,2023-09-10 18:34:54.335000,2023-09-10 18:34:56,354.885,356.55,1.665,2,66_nonword
COMPILING,2023-09-10 18:34:56,2023-09-10 18:34:59.424000,356.55,359.974,3.424,2,66_nonword
OUTPUT COMPREHENSION,2023-09-10 18:34:59.424000,2023-09-10 18:35:40.337000,359.974,400.887,40.913,2,66_nonword
CODE EDITING,2023-09-10 18:35:40.337000,2023-09-10 18:35:56,400.887,416.55,15.663,2,66_nonword
COMPILING,2023-09-10 18:35:56,2023-09-10 18:36:01.520000,416.55,422.07,5.52,2,66_nonword
OUTPUT COMPREHENSION,2023-09-10 18:36:01.520000,2023-09-10 18:36:12,422.07,432.55,10.48,2,66_nonword
COMPILING,2023-09-10 18:36:12,2023-09-10 18:36:14.540000,432.55,435.09,2.54,2,66_nonword
OUTPUT COMPREHENSION,2023-09-10 18:36:14.540000,2023-09-10 18:36:23.617000,435.09,444.167,9.077,2,66_nonword
