State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-16 18:20:14.034000,2023-10-16 18:20:15.034000,0.0,1.0,1.0,0,0
TASK COMPREHENSION,2023-10-16 18:20:15.034000,2023-10-16 18:20:16.040000,1.0,2.006,1.006,1,169_original
FAULT LOCALIZATION,2023-10-16 18:20:16.040000,2023-10-16 18:21:37.174000,2.006,83.14,81.134,1,169_original
CODE EDITING,2023-10-16 18:21:37.174000,2023-10-16 18:22:22,83.14,127.966,44.826,1,169_original
COMPILING,2023-10-16 18:22:22,2023-10-16 18:22:25.200000,127.966,131.166,3.2,1,169_original
OUTPUT COMPREHENSION,2023-10-16 18:22:25.200000,2023-10-16 18:22:36.210000,131.166,142.176,11.01,1,169_original
TASK COMPREHENSION,2023-10-16 18:22:36.210000,2023-10-16 18:22:37.214000,142.176,143.18,1.004,2,104_original
FAULT LOCALIZATION,2023-10-16 18:22:37.214000,2023-10-16 18:26:13.018000,143.18,358.984,215.804,2,104_original
CODE EDITING,2023-10-16 18:26:13.018000,2023-10-16 18:26:34,358.984,379.966,20.982,2,104_original
COMPILING,2023-10-16 18:26:34,2023-10-16 18:26:37.622000,379.966,383.588,3.622,2,104_original
OUTPUT COMPREHENSION,2023-10-16 18:26:37.622000,2023-10-16 18:26:43,383.588,388.966,5.378,2,104_original
COMPILING,2023-10-16 18:26:43,2023-10-16 18:26:47.638000,388.966,393.604,4.638,2,104_original
OUTPUT COMPREHENSION,2023-10-16 18:26:47.638000,2023-10-16 18:26:56.649000,393.604,402.615,9.011,2,104_original
TASK COMPREHENSION,2023-10-16 18:26:56.649000,2023-10-16 18:26:57.662000,402.615,403.628,1.013,3,1_simple
FAULT LOCALIZATION,2023-10-16 18:26:57.662000,2023-10-16 18:29:53.958000,403.628,579.924,176.296,3,1_simple
CODE EDITING,2023-10-16 18:29:53.958000,2023-10-16 18:30:12,579.924,597.966,18.042,3,1_simple
COMPILING,2023-10-16 18:30:12,2023-10-16 18:30:16.960000,597.966,602.926,4.96,3,1_simple
OUTPUT COMPREHENSION,2023-10-16 18:30:16.960000,2023-10-16 18:30:25.996000,602.926,611.962,9.036,3,1_simple
TASK COMPREHENSION,2023-10-16 18:30:25.996000,2023-10-16 18:30:26.998000,611.962,612.964,1.002,4,35_simple
FAULT LOCALIZATION,2023-10-16 18:30:26.998000,2023-10-16 18:31:40.275000,612.964,686.241,73.277,4,35_simple
CODE EDITING,2023-10-16 18:31:40.275000,2023-10-16 18:32:20,686.241,725.966,39.725,4,35_simple
COMPILING,2023-10-16 18:32:20,2023-10-16 18:32:24.190000,725.966,730.156,4.19,4,35_simple
OUTPUT COMPREHENSION,2023-10-16 18:32:24.190000,2023-10-16 18:32:29,730.156,734.966,4.81,4,35_simple
COMPILING,2023-10-16 18:32:29,2023-10-16 18:32:34.216000,734.966,740.182,5.216,4,35_simple
OUTPUT COMPREHENSION,2023-10-16 18:32:34.216000,2023-10-16 18:32:42.225000,740.182,748.191,8.009,4,35_simple
TASK COMPREHENSION,2023-10-16 18:32:42.225000,2023-10-16 18:32:43.230000,748.191,749.196,1.005,5,118_complex
FAULT LOCALIZATION,2023-10-16 18:32:43.230000,2023-10-16 18:33:21.551000,749.196,787.517,38.321,5,118_complex
CODE EDITING,2023-10-16 18:33:21.551000,2023-10-16 18:34:15,787.517,840.966,53.449,5,118_complex
COMPILING,2023-10-16 18:34:15,2023-10-16 18:34:20.445000,840.966,846.411,5.445,5,118_complex
OUTPUT COMPREHENSION,2023-10-16 18:34:20.445000,2023-10-16 18:34:26.455000,846.411,852.421,6.01,5,118_complex
TASK COMPREHENSION,2023-10-16 18:34:26.455000,2023-10-16 18:34:27.465000,852.421,853.431,1.01,6,136_original
FAULT LOCALIZATION,2023-10-16 18:34:27.465000,2023-10-16 18:35:17.910000,853.431,903.876,50.445,6,136_original
CODE EDITING,2023-10-16 18:35:17.910000,2023-10-16 18:36:03,903.876,948.966,45.09,6,136_original
COMPILING,2023-10-16 18:36:03,2023-10-16 18:36:13.620000,948.966,959.586,10.62,6,136_original
OUTPUT COMPREHENSION,2023-10-16 18:36:13.620000,2023-10-16 18:36:28.694000,959.586,974.66,15.074,6,136_original
TASK COMPREHENSION,2023-10-16 18:36:28.694000,2023-10-16 18:36:29.702000,974.66,975.668,1.008,7,203_complex
FAULT LOCALIZATION,2023-10-16 18:36:29.702000,2023-10-16 18:38:01.252000,975.668,1067.218,91.55,7,203_complex
CODE EDITING,2023-10-16 18:38:01.252000,2023-10-16 18:40:09,1067.218,1194.966,127.748,7,203_complex
COMPILING,2023-10-16 18:40:09,2023-10-16 18:40:15.027000,1194.966,1200.993,6.027,7,203_complex
OUTPUT COMPREHENSION,2023-10-16 18:40:15.027000,2023-10-16 18:40:22.032000,1200.993,1207.998,7.005,7,203_complex
TASK COMPREHENSION,2023-10-16 18:40:22.032000,2023-10-16 18:40:23.042000,1207.998,1209.008,1.01,8,108_original
FAULT LOCALIZATION,2023-10-16 18:40:23.042000,2023-10-16 18:41:21.405000,1209.008,1267.371,58.363,8,108_original
CODE EDITING,2023-10-16 18:41:21.405000,2023-10-16 18:41:41,1267.371,1286.966,19.595,8,108_original
COMPILING,2023-10-16 18:41:41,2023-10-16 18:41:47.196000,1286.966,1293.162,6.196,8,108_original
OUTPUT COMPREHENSION,2023-10-16 18:41:47.196000,2023-10-16 18:41:55.203000,1293.162,1301.169,8.007,8,108_original
TASK COMPREHENSION,2023-10-16 18:41:55.203000,2023-10-16 18:41:56.211000,1301.169,1302.177,1.008,9,121_nonword
FAULT LOCALIZATION,2023-10-16 18:41:56.211000,2023-10-16 18:42:36.668000,1302.177,1342.634,40.457,9,121_nonword
CODE EDITING,2023-10-16 18:42:36.668000,2023-10-16 18:42:58,1342.634,1363.966,21.332,9,121_nonword
COMPILING,2023-10-16 18:42:58,2023-10-16 18:43:03.307000,1363.966,1369.273,5.307,9,121_nonword
OUTPUT COMPREHENSION,2023-10-16 18:43:03.307000,2023-10-16 18:43:09.189000,1369.273,1375.155,5.882,9,121_nonword
CODE EDITING,2023-10-16 18:43:09.189000,2023-10-16 18:43:12,1375.155,1377.966,2.811,9,121_nonword
COMPILING,2023-10-16 18:43:12,2023-10-16 18:43:16.334000,1377.966,1382.3,4.334,9,121_nonword
OUTPUT COMPREHENSION,2023-10-16 18:43:16.334000,2023-10-16 18:43:23.338000,1382.3,1389.304,7.004,9,121_nonword
TASK COMPREHENSION,2023-10-16 18:43:23.338000,2023-10-16 18:43:25.351000,1389.304,1391.317,2.013,10,112_nonword
FAULT LOCALIZATION,2023-10-16 18:43:25.351000,2023-10-16 18:44:23.597000,1391.317,1449.563,58.246,10,112_nonword
CODE EDITING,2023-10-16 18:44:23.597000,2023-10-16 18:44:36,1449.563,1461.966,12.403,10,112_nonword
COMPILING,2023-10-16 18:44:36,2023-10-16 18:44:41.476000,1461.966,1467.442,5.476,10,112_nonword
OUTPUT COMPREHENSION,2023-10-16 18:44:41.476000,2023-10-16 18:44:49.631000,1467.442,1475.597,8.155,10,112_nonword
CODE EDITING,2023-10-16 18:44:49.631000,2023-10-16 18:45:10,1475.597,1495.966,20.369,10,112_nonword
COMPILING,2023-10-16 18:45:10,2023-10-16 18:45:14.534000,1495.966,1500.5,4.534,10,112_nonword
OUTPUT COMPREHENSION,2023-10-16 18:45:14.534000,2023-10-16 18:45:32.556000,1500.5,1518.522,18.022,10,112_nonword
TASK COMPREHENSION,2023-10-16 18:45:32.556000,2023-10-16 18:45:34.557000,1518.522,1520.523,2.001,11,13_complex
FAULT LOCALIZATION,2023-10-16 18:45:34.557000,2023-10-16 18:46:50.247000,1520.523,1596.213,75.69,11,13_complex
CODE EDITING,2023-10-16 18:46:50.247000,2023-10-16 18:47:08,1596.213,1613.966,17.753,11,13_complex
COMPILING,2023-10-16 18:47:08,2023-10-16 18:47:13.701000,1613.966,1619.667,5.701,11,13_complex
OUTPUT COMPREHENSION,2023-10-16 18:47:13.701000,2023-10-16 18:47:21.719000,1619.667,1627.685,8.018,11,13_complex
TASK COMPREHENSION,2023-10-16 18:47:21.719000,2023-10-16 18:47:22.724000,1627.685,1628.69,1.005,12,66_nonword
FAULT LOCALIZATION,2023-10-16 18:47:22.724000,2023-10-16 18:48:03.924000,1628.69,1669.89,41.2,12,66_nonword
CODE EDITING,2023-10-16 18:48:03.924000,2023-10-16 18:48:17,1669.89,1682.966,13.076,12,66_nonword
COMPILING,2023-10-16 18:48:17,2023-10-16 18:48:22.807000,1682.966,1688.773,5.807,12,66_nonword
OUTPUT COMPREHENSION,2023-10-16 18:48:22.807000,2023-10-16 18:48:29.814000,1688.773,1695.78,7.007,12,66_nonword
TASK COMPREHENSION,2023-10-16 18:48:29.814000,2023-10-16 18:48:30.828000,1695.78,1696.794,1.014,13,144_simple
FAULT LOCALIZATION,2023-10-16 18:48:30.828000,2023-10-16 18:49:00.819000,1696.794,1726.785,29.991,13,144_simple
CODE EDITING,2023-10-16 18:49:00.819000,2023-10-16 18:49:11,1726.785,1736.966,10.181,13,144_simple
COMPILING,2023-10-16 18:49:11,2023-10-16 18:49:15.925000,1736.966,1741.891,4.925,13,144_simple
OUTPUT COMPREHENSION,2023-10-16 18:49:15.925000,2023-10-16 18:49:47.971000,1741.891,1773.937,32.046,13,144_simple
IDLE,2023-10-16 18:49:47.971000,2023-10-16 18:51:37.120000,1773.937,1883.086,109.149,6,136_original
