State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-21 20:31:04.374000,2023-10-21 20:31:14.718000,0.0,10.344,10.344,0,0
TASK COMPREHENSION,2023-10-21 20:31:14.718000,2023-10-21 20:31:41.739000,10.344,37.365,27.021,1,169_nonword
FAULT LOCALIZATION,2023-10-21 20:31:41.739000,2023-10-21 20:33:44.091000,37.365,159.717,122.352,1,169_nonword
CODE EDITING,2023-10-21 20:33:44.091000,2023-10-21 20:36:38,159.717,333.626,173.909,1,169_nonword
COMPILING,2023-10-21 20:36:38,2023-10-21 20:36:44.248000,333.626,339.874,6.248,1,169_nonword
OUTPUT COMPREHENSION,2023-10-21 20:36:44.248000,2023-10-21 20:36:55.265000,339.874,350.891,11.017,1,169_nonword
TASK COMPREHENSION,2023-10-21 20:36:55.265000,2023-10-21 20:36:58.270000,350.891,353.896,3.005,2,144_nonword
FAULT LOCALIZATION,2023-10-21 20:36:58.270000,2023-10-21 20:38:37.189000,353.896,452.815,98.919,2,144_nonword
CODE EDITING,2023-10-21 20:38:37.189000,2023-10-21 20:38:49,452.815,464.626,11.811,2,144_nonword
COMPILING,2023-10-21 20:38:49,2023-10-21 20:38:55.491000,464.626,471.117,6.491,2,144_nonword
OUTPUT COMPREHENSION,2023-10-21 20:38:55.491000,2023-10-21 20:38:59,471.117,474.626,3.509,2,144_nonword
COMPILING,2023-10-21 20:38:59,2023-10-21 20:39:04.501000,474.626,480.127,5.501,2,144_nonword
OUTPUT COMPREHENSION,2023-10-21 20:39:04.501000,2023-10-21 20:39:14.522000,480.127,490.148,10.021,2,144_nonword
TASK COMPREHENSION,2023-10-21 20:39:14.522000,2023-10-21 20:39:19.532000,490.148,495.158,5.01,3,108_nonword
FAULT LOCALIZATION,2023-10-21 20:39:19.532000,2023-10-21 20:40:50.160000,495.158,585.786,90.628,3,108_nonword
CODE EDITING,2023-10-21 20:40:50.160000,2023-10-21 20:41:54,585.786,649.626,63.84,3,108_nonword
COMPILING,2023-10-21 20:41:54,2023-10-21 20:41:57.855000,649.626,653.481,3.855,3,108_nonword
OUTPUT COMPREHENSION,2023-10-21 20:41:57.855000,2023-10-21 20:46:26.892000,653.481,922.518,269.037,3,108_nonword
CODE EDITING,2023-10-21 20:46:26.892000,2023-10-21 20:46:31,922.518,926.626,4.108,3,108_nonword
COMPILING,2023-10-21 20:46:31,2023-10-21 20:46:35.357000,926.626,930.983,4.357,3,108_nonword
OUTPUT COMPREHENSION,2023-10-21 20:46:35.357000,2023-10-21 20:47:01.876000,930.983,957.502,26.519,3,108_nonword
CODE EDITING,2023-10-21 20:47:01.876000,2023-10-21 20:48:11,957.502,1026.626,69.124,3,108_nonword
COMPILING,2023-10-21 20:48:11,2023-10-21 20:48:16.606000,1026.626,1032.232,5.606,3,108_nonword
OUTPUT COMPREHENSION,2023-10-21 20:48:16.606000,2023-10-21 20:48:21.612000,1032.232,1037.238,5.006,3,108_nonword
