State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-07 21:32:48.873000,2023-10-07 21:32:49.853000,0.0,0.98,0.98,0,0
TASK COMPREHENSION,2023-10-07 21:32:49.853000,2023-10-07 21:34:02.361000,0.98,73.488,72.508,1,136_simple
FAULT LOCALIZATION,2023-10-07 21:34:02.361000,2023-10-07 21:34:42.813000,73.488,113.94,40.452,1,136_simple
CODE EDITING,2023-10-07 21:34:42.813000,2023-10-07 21:35:45,113.94,176.127,62.187,1,136_simple
COMPILING,2023-10-07 21:35:45,2023-10-07 21:35:49.634000,176.127,180.761,4.634,1,136_simple
OUTPUT COMPREHENSION,2023-10-07 21:35:49.634000,2023-10-07 21:35:55.663000,180.761,186.79,6.029,1,136_simple
TASK COMPREHENSION,2023-10-07 21:35:55.663000,2023-10-07 21:37:12.773000,186.79,263.9,77.11,2,112_complex
FAULT LOCALIZATION,2023-10-07 21:37:12.773000,2023-10-07 21:38:53.834000,263.9,364.961,101.061,2,112_complex
CODE EDITING,2023-10-07 21:38:53.834000,2023-10-07 21:42:16,364.961,567.127,202.166,2,112_complex
COMPILING,2023-10-07 21:42:16,2023-10-07 21:42:21.294000,567.127,572.421,5.294,2,112_complex
OUTPUT COMPREHENSION,2023-10-07 21:42:21.294000,2023-10-07 21:42:30.305000,572.421,581.432,9.011,2,112_complex
TASK COMPREHENSION,2023-10-07 21:42:30.305000,2023-10-07 21:42:49.328000,581.432,600.455,19.023,3,118_complex
FAULT LOCALIZATION,2023-10-07 21:42:49.328000,2023-10-07 21:46:54.686000,600.455,845.813,245.358,3,118_complex
CODE EDITING,2023-10-07 21:46:54.686000,2023-10-07 21:47:42,845.813,893.127,47.314,3,118_complex
COMPILING,2023-10-07 21:47:42,2023-10-07 21:47:48.752000,893.127,899.879,6.752,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:47:48.752000,2023-10-07 21:49:23,899.879,994.127,94.248,3,118_complex
COMPILING,2023-10-07 21:49:23,2023-10-07 21:49:28.901000,994.127,1000.028,5.901,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:49:28.901000,2023-10-07 21:49:40,1000.028,1011.127,11.099,3,118_complex
COMPILING,2023-10-07 21:49:40,2023-10-07 21:49:44.954000,1011.127,1016.081,4.954,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:49:44.954000,2023-10-07 21:50:02.891000,1016.081,1034.018,17.937,3,118_complex
CODE EDITING,2023-10-07 21:50:02.891000,2023-10-07 21:50:48,1034.018,1079.127,45.109,3,118_complex
COMPILING,2023-10-07 21:50:48,2023-10-07 21:50:53.219000,1079.127,1084.346,5.219,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:50:53.219000,2023-10-07 21:51:09.855000,1084.346,1100.982,16.636,3,118_complex
CODE EDITING,2023-10-07 21:51:09.855000,2023-10-07 21:51:42,1100.982,1133.127,32.145,3,118_complex
COMPILING,2023-10-07 21:51:42,2023-10-07 21:51:46.466000,1133.127,1137.593,4.466,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:51:46.466000,2023-10-07 21:52:00.299000,1137.593,1151.426,13.833,3,118_complex
CODE EDITING,2023-10-07 21:52:00.299000,2023-10-07 21:52:02,1151.426,1153.127,1.701,3,118_complex
COMPILING,2023-10-07 21:52:02,2023-10-07 21:52:11.568000,1153.127,1162.695,9.568,3,118_complex
OUTPUT COMPREHENSION,2023-10-07 21:52:11.568000,2023-10-07 21:52:42.656000,1162.695,1193.783,31.088,3,118_complex
TASK COMPREHENSION,2023-10-07 21:52:42.656000,2023-10-07 21:53:09.689000,1193.783,1220.816,27.033,4,104_nonword
FAULT LOCALIZATION,2023-10-07 21:53:09.689000,2023-10-07 21:53:43.657000,1220.816,1254.784,33.968,4,104_nonword
CODE EDITING,2023-10-07 21:53:43.657000,2023-10-07 21:54:18,1254.784,1289.127,34.343,4,104_nonword
COMPILING,2023-10-07 21:54:18,2023-10-07 21:54:23.840000,1289.127,1294.967,5.84,4,104_nonword
OUTPUT COMPREHENSION,2023-10-07 21:54:23.840000,2023-10-07 21:54:43.266000,1294.967,1314.393,19.426,4,104_nonword
CODE EDITING,2023-10-07 21:54:43.266000,2023-10-07 21:54:46,1314.393,1317.127,2.734,4,104_nonword
COMPILING,2023-10-07 21:54:46,2023-10-07 21:54:49.890000,1317.127,1321.017,3.89,4,104_nonword
OUTPUT COMPREHENSION,2023-10-07 21:54:49.890000,2023-10-07 21:54:53.915000,1321.017,1325.042,4.025,4,104_nonword
IDLE,2023-10-07 21:54:53.915000,2023-10-07 21:55:03.947000,1325.042,1335.074,10.032,2,112_complex
TASK COMPREHENSION,2023-10-07 21:55:03.947000,2023-10-07 21:56:08.059000,1335.074,1399.186,64.112,5,203_simple
FAULT LOCALIZATION,2023-10-07 21:56:08.059000,2023-10-07 21:57:34.250000,1399.186,1485.377,86.191,5,203_simple
CODE EDITING,2023-10-07 21:57:34.250000,2023-10-07 21:57:39,1485.377,1490.127,4.75,5,203_simple
COMPILING,2023-10-07 21:57:39,2023-10-07 21:57:44.252000,1490.127,1495.379,5.252,5,203_simple
OUTPUT COMPREHENSION,2023-10-07 21:57:44.252000,2023-10-07 21:58:21.701000,1495.379,1532.828,37.449,5,203_simple
CODE EDITING,2023-10-07 21:58:21.701000,2023-10-07 21:58:25,1532.828,1536.127,3.299,5,203_simple
COMPILING,2023-10-07 21:58:25,2023-10-07 21:58:32.350000,1536.127,1543.477,7.35,5,203_simple
OUTPUT COMPREHENSION,2023-10-07 21:58:32.350000,2023-10-07 21:59:33.231000,1543.477,1604.358,60.881,5,203_simple
CODE EDITING,2023-10-07 21:59:33.231000,2023-10-07 22:00:09,1604.358,1640.127,35.769,5,203_simple
COMPILING,2023-10-07 22:00:09,2023-10-07 22:00:15.647000,1640.127,1646.774,6.647,5,203_simple
OUTPUT COMPREHENSION,2023-10-07 22:00:15.647000,2023-10-07 22:00:27.743000,1646.774,1658.87,12.096,5,203_simple
TASK COMPREHENSION,2023-10-07 22:00:27.743000,2023-10-07 22:00:47.764000,1658.87,1678.891,20.021,6,121_nonword
FAULT LOCALIZATION,2023-10-07 22:00:47.764000,2023-10-07 22:00:52.134000,1678.891,1683.261,4.37,6,121_nonword
CODE EDITING,2023-10-07 22:00:52.134000,2023-10-07 22:02:17,1683.261,1768.127,84.866,6,121_nonword
COMPILING,2023-10-07 22:02:17,2023-10-07 22:02:21.985000,1768.127,1773.112,4.985,6,121_nonword
OUTPUT COMPREHENSION,2023-10-07 22:02:21.985000,2023-10-07 22:02:30.996000,1773.112,1782.123,9.011,6,121_nonword
TASK COMPREHENSION,2023-10-07 22:02:30.996000,2023-10-07 22:03:06.070000,1782.123,1817.197,35.074,7,66_original
FAULT LOCALIZATION,2023-10-07 22:03:06.070000,2023-10-07 22:04:34.223000,1817.197,1905.35,88.153,7,66_original
CODE EDITING,2023-10-07 22:04:34.223000,2023-10-07 22:05:38,1905.35,1969.127,63.777,7,66_original
COMPILING,2023-10-07 22:05:38,2023-10-07 22:05:43.312000,1969.127,1974.439,5.312,7,66_original
OUTPUT COMPREHENSION,2023-10-07 22:05:43.312000,2023-10-07 22:05:53.324000,1974.439,1984.451,10.012,7,66_original
TASK COMPREHENSION,2023-10-07 22:05:53.324000,2023-10-07 22:06:27.369000,1984.451,2018.496,34.045,8,13_simple
FAULT LOCALIZATION,2023-10-07 22:06:27.369000,2023-10-07 22:07:14.856000,2018.496,2065.983,47.487,8,13_simple
CODE EDITING,2023-10-07 22:07:14.856000,2023-10-07 22:07:21,2065.983,2072.127,6.144,8,13_simple
COMPILING,2023-10-07 22:07:21,2023-10-07 22:07:26.512000,2072.127,2077.639,5.512,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:07:26.512000,2023-10-07 22:09:02.496000,2077.639,2173.623,95.984,8,13_simple
CODE EDITING,2023-10-07 22:09:02.496000,2023-10-07 22:09:21,2173.623,2192.127,18.504,8,13_simple
COMPILING,2023-10-07 22:09:21,2023-10-07 22:09:25.686000,2192.127,2196.813,4.686,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:09:25.686000,2023-10-07 22:09:40.266000,2196.813,2211.393,14.58,8,13_simple
CODE EDITING,2023-10-07 22:09:40.266000,2023-10-07 22:09:50,2211.393,2221.127,9.734,8,13_simple
COMPILING,2023-10-07 22:09:50,2023-10-07 22:09:54.782000,2221.127,2225.909,4.782,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:09:54.782000,2023-10-07 22:10:04.676000,2225.909,2235.803,9.894,8,13_simple
CODE EDITING,2023-10-07 22:10:04.676000,2023-10-07 22:10:30,2235.803,2261.127,25.324,8,13_simple
COMPILING,2023-10-07 22:10:30,2023-10-07 22:10:33.863000,2261.127,2264.99,3.863,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:10:33.863000,2023-10-07 22:10:43,2264.99,2274.127,9.137,8,13_simple
COMPILING,2023-10-07 22:10:43,2023-10-07 22:10:46.890000,2274.127,2278.017,3.89,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:10:46.890000,2023-10-07 22:10:52.226000,2278.017,2283.353,5.336,8,13_simple
CODE EDITING,2023-10-07 22:10:52.226000,2023-10-07 22:10:55,2283.353,2286.127,2.774,8,13_simple
COMPILING,2023-10-07 22:10:55,2023-10-07 22:10:59.943000,2286.127,2291.07,4.943,8,13_simple
OUTPUT COMPREHENSION,2023-10-07 22:10:59.943000,2023-10-07 22:11:05.949000,2291.07,2297.076,6.006,8,13_simple
TASK COMPREHENSION,2023-10-07 22:11:05.949000,2023-10-07 22:11:26.975000,2297.076,2318.102,21.026,9,35_complex
FAULT LOCALIZATION,2023-10-07 22:11:26.975000,2023-10-07 22:11:46.076000,2318.102,2337.203,19.101,9,35_complex
CODE EDITING,2023-10-07 22:11:46.076000,2023-10-07 22:12:22,2337.203,2373.127,35.924,9,35_complex
COMPILING,2023-10-07 22:12:22,2023-10-07 22:12:28.121000,2373.127,2379.248,6.121,9,35_complex
OUTPUT COMPREHENSION,2023-10-07 22:12:28.121000,2023-10-07 22:12:34.126000,2379.248,2385.253,6.005,9,35_complex
TASK COMPREHENSION,2023-10-07 22:12:34.126000,2023-10-07 22:12:47.148000,2385.253,2398.275,13.022,10,108_nonword
FAULT LOCALIZATION,2023-10-07 22:12:47.148000,2023-10-07 22:13:44.290000,2398.275,2455.417,57.142,10,108_nonword
CODE EDITING,2023-10-07 22:13:44.290000,2023-10-07 22:13:54,2455.417,2465.127,9.71,10,108_nonword
COMPILING,2023-10-07 22:13:54,2023-10-07 22:13:57.316000,2465.127,2468.443,3.316,10,108_nonword
OUTPUT COMPREHENSION,2023-10-07 22:13:57.316000,2023-10-07 22:14:23.546000,2468.443,2494.673,26.23,10,108_nonword
CODE EDITING,2023-10-07 22:14:23.546000,2023-10-07 22:14:30,2494.673,2501.127,6.454,10,108_nonword
COMPILING,2023-10-07 22:14:30,2023-10-07 22:14:37.376000,2501.127,2508.503,7.376,10,108_nonword
OUTPUT COMPREHENSION,2023-10-07 22:14:37.376000,2023-10-07 22:15:38.007000,2508.503,2569.134,60.631,10,108_nonword
CODE EDITING,2023-10-07 22:15:38.007000,2023-10-07 22:15:46,2569.134,2577.127,7.993,10,108_nonword
COMPILING,2023-10-07 22:15:46,2023-10-07 22:15:50.537000,2577.127,2581.664,4.537,10,108_nonword
OUTPUT COMPREHENSION,2023-10-07 22:15:50.537000,2023-10-07 22:15:58.586000,2581.664,2589.713,8.049,10,108_nonword
TASK COMPREHENSION,2023-10-07 22:15:58.586000,2023-10-07 22:16:07.621000,2589.713,2598.748,9.035,11,169_original
FAULT LOCALIZATION,2023-10-07 22:16:07.621000,2023-10-07 22:16:29.399000,2598.748,2620.526,21.778,11,169_original
CODE EDITING,2023-10-07 22:16:29.399000,2023-10-07 22:16:38,2620.526,2629.127,8.601,11,169_original
