State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-21 22:22:15.438000,2023-06-21 22:22:30.473000,0.0,15.035,15.035,0,0
TASK COMPREHENSION,2023-06-21 22:22:30.473000,2023-06-21 22:22:36.573000,15.035,21.135,6.1,1,104_simple
FAULT LOCALIZATION,2023-06-21 22:22:36.573000,2023-06-21 22:23:19.753000,21.135,64.315,43.18,1,104_simple
CODE EDITING,2023-06-21 22:23:19.753000,2023-06-21 22:23:59,64.315,103.562,39.247,1,104_simple
COMPILING,2023-06-21 22:23:59,2023-06-21 22:24:02.931000,103.562,107.493,3.931,1,104_simple
OUTPUT COMPREHENSION,2023-06-21 22:24:02.931000,2023-06-21 22:24:13,107.493,117.562,10.069,1,104_simple
COMPILING,2023-06-21 22:24:13,2023-06-21 22:24:18.963000,117.562,123.525,5.963,1,104_simple
OUTPUT COMPREHENSION,2023-06-21 22:24:18.963000,2023-06-21 22:24:29.976000,123.525,134.538,11.013,1,104_simple
IDLE,2023-06-21 22:24:29.976000,2023-06-21 22:24:31.976000,134.538,136.538,2.0,2,66_simple
TASK COMPREHENSION,2023-06-21 22:24:31.976000,2023-06-21 22:24:57.477000,136.538,162.039,25.501,2,66_simple
CODE EDITING,2023-06-21 22:24:57.477000,2023-06-21 22:27:43,162.039,327.562,165.523,2,66_simple
COMPILING,2023-06-21 22:27:43,2023-06-21 22:27:47.244000,327.562,331.806,4.244,2,66_simple
OUTPUT COMPREHENSION,2023-06-21 22:27:47.244000,2023-06-21 22:28:03.258000,331.806,347.82,16.014,2,66_simple
TASK COMPREHENSION,2023-06-21 22:28:03.258000,2023-06-21 22:28:05.267000,347.82,349.829,2.009,3,136_complex
FAULT LOCALIZATION,2023-06-21 22:28:05.267000,2023-06-21 22:28:56.638000,349.829,401.2,51.371,3,136_complex
CODE EDITING,2023-06-21 22:28:56.638000,2023-06-21 22:29:25,401.2,429.562,28.362,3,136_complex
COMPILING,2023-06-21 22:29:25,2023-06-21 22:29:29.359000,429.562,433.921,4.359,3,136_complex
OUTPUT COMPREHENSION,2023-06-21 22:29:29.359000,2023-06-21 22:29:32,433.921,436.562,2.641,3,136_complex
COMPILING,2023-06-21 22:29:32,2023-06-21 22:29:34.376000,436.562,438.938,2.376,3,136_complex
OUTPUT COMPREHENSION,2023-06-21 22:29:34.376000,2023-06-21 22:29:45.386000,438.938,449.948,11.01,3,136_complex
TASK COMPREHENSION,2023-06-21 22:29:45.386000,2023-06-21 22:29:48.396000,449.948,452.958,3.01,4,203_complex
FAULT LOCALIZATION,2023-06-21 22:29:48.396000,2023-06-21 22:31:27.394000,452.958,551.956,98.998,4,203_complex
CODE EDITING,2023-06-21 22:31:27.394000,2023-06-21 22:31:57,551.956,581.562,29.606,4,203_complex
COMPILING,2023-06-21 22:31:57,2023-06-21 22:32:01.614000,581.562,586.176,4.614,4,203_complex
OUTPUT COMPREHENSION,2023-06-21 22:32:01.614000,2023-06-21 22:32:10.631000,586.176,595.193,9.017,4,203_complex
TASK COMPREHENSION,2023-06-21 22:32:10.631000,2023-06-21 22:32:12.644000,595.193,597.206,2.013,5,144_complex
FAULT LOCALIZATION,2023-06-21 22:32:12.644000,2023-06-21 22:32:36.176000,597.206,620.738,23.532,5,144_complex
CODE EDITING,2023-06-21 22:32:36.176000,2023-06-21 22:32:53,620.738,637.562,16.824,5,144_complex
COMPILING,2023-06-21 22:32:53,2023-06-21 22:32:56.745000,637.562,641.307,3.745,5,144_complex
