State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-05-22 15:27:42.300000,2023-05-22 15:27:45.935000,0.0,3.635,3.635,0,0
TASK COMPREHENSION,2023-05-22 15:27:45.935000,2023-05-22 15:27:47.509000,3.635,5.209,1.574,1,108_simple
FAULT LOCALIZATION,2023-05-22 15:27:47.509000,2023-05-22 15:28:51.784000,5.209,69.484,64.275,1,108_simple
CODE EDITING,2023-05-22 15:28:51.784000,2023-05-22 15:29:44,69.484,121.7,52.216,1,108_simple
COMPILING,2023-05-22 15:29:44,2023-05-22 15:29:48.694000,121.7,126.394,4.694,1,108_simple
OUTPUT COMPREHENSION,2023-05-22 15:29:48.694000,2023-05-22 15:31:59.687000,126.394,257.387,130.993,1,108_simple
CODE EDITING,2023-05-22 15:31:59.687000,2023-05-22 15:32:10,257.387,267.7,10.313,1,108_simple
COMPILING,2023-05-22 15:32:10,2023-05-22 15:32:16.926000,267.7,274.626,6.926,1,108_simple
OUTPUT COMPREHENSION,2023-05-22 15:32:16.926000,2023-05-22 15:34:08.818000,274.626,386.518,111.892,1,108_simple
CODE EDITING,2023-05-22 15:34:08.818000,2023-05-22 15:34:26,386.518,403.7,17.182,1,108_simple
COMPILING,2023-05-22 15:34:26,2023-05-22 15:34:29.126000,403.7,406.826,3.126,1,108_simple
OUTPUT COMPREHENSION,2023-05-22 15:34:29.126000,2023-05-22 15:35:49.771000,406.826,487.471,80.645,1,108_simple
CODE EDITING,2023-05-22 15:35:49.771000,2023-05-22 15:36:16,487.471,513.7,26.229,1,108_simple
COMPILING,2023-05-22 15:36:16,2023-05-22 15:36:20.323000,513.7,518.023,4.323,1,108_simple
OUTPUT COMPREHENSION,2023-05-22 15:36:20.323000,2023-05-22 15:36:59.385000,518.023,557.085,39.062,1,108_simple
CODE EDITING,2023-05-22 15:36:59.385000,2023-05-22 15:37:41,557.085,598.7,41.615,1,108_simple
COMPILING,2023-05-22 15:37:41,2023-05-22 15:37:45.457000,598.7,603.157,4.457,1,108_simple
OUTPUT COMPREHENSION,2023-05-22 15:37:45.457000,2023-05-22 15:37:55.468000,603.157,613.168,10.011,1,108_simple
TASK COMPREHENSION,2023-05-22 15:37:55.468000,2023-05-22 15:37:56.468000,613.168,614.168,1.0,2,203_simple
FAULT LOCALIZATION,2023-05-22 15:37:56.468000,2023-05-22 15:39:48.016000,614.168,725.716,111.548,2,203_simple
CODE EDITING,2023-05-22 15:39:48.016000,2023-05-22 15:41:00,725.716,797.7,71.984,2,203_simple
COMPILING,2023-05-22 15:41:00,2023-05-22 15:41:06.752000,797.7,804.452,6.752,2,203_simple
OUTPUT COMPREHENSION,2023-05-22 15:41:06.752000,2023-05-22 15:41:16.762000,804.452,814.462,10.01,2,203_simple
TASK COMPREHENSION,2023-05-22 15:41:16.762000,2023-05-22 15:41:17.762000,814.462,815.462,1.0,3,118_complex
FAULT LOCALIZATION,2023-05-22 15:41:17.762000,2023-05-22 15:43:08.535000,815.462,926.235,110.773,3,118_complex
CODE EDITING,2023-05-22 15:43:08.535000,2023-05-22 15:44:03,926.235,980.7,54.465,3,118_complex
COMPILING,2023-05-22 15:44:03,2023-05-22 15:44:06.031000,980.7,983.731,3.031,3,118_complex
OUTPUT COMPREHENSION,2023-05-22 15:44:06.031000,2023-05-22 15:44:23,983.731,1000.7,16.969,3,118_complex
COMPILING,2023-05-22 15:44:23,2023-05-22 15:44:27.084000,1000.7,1004.784,4.084,3,118_complex
OUTPUT COMPREHENSION,2023-05-22 15:44:27.084000,2023-05-22 15:44:34.093000,1004.784,1011.793,7.009,3,118_complex
TASK COMPREHENSION,2023-05-22 15:44:34.093000,2023-05-22 15:44:35.097000,1011.793,1012.797,1.004,4,136_nonword
FAULT LOCALIZATION,2023-05-22 15:44:35.097000,2023-05-22 15:44:54.555000,1012.797,1032.255,19.458,4,136_nonword
CODE EDITING,2023-05-22 15:44:54.555000,2023-05-22 15:45:34,1032.255,1071.7,39.445,4,136_nonword
COMPILING,2023-05-22 15:45:34,2023-05-22 15:45:36.188000,1071.7,1073.888,2.188,4,136_nonword
OUTPUT COMPREHENSION,2023-05-22 15:45:36.188000,2023-05-22 15:45:47.220000,1073.888,1084.92,11.032,4,136_nonword
TASK COMPREHENSION,2023-05-22 15:45:47.220000,2023-05-22 15:45:48.260000,1084.92,1085.96,1.04,5,13_simple
FAULT LOCALIZATION,2023-05-22 15:45:48.260000,2023-05-22 15:45:52.678000,1085.96,1090.378,4.418,5,13_simple
CODE EDITING,2023-05-22 15:45:52.678000,2023-05-22 15:46:48,1090.378,1145.7,55.322,5,13_simple
COMPILING,2023-05-22 15:46:48,2023-05-22 15:46:50.348000,1145.7,1148.048,2.348,5,13_simple
OUTPUT COMPREHENSION,2023-05-22 15:46:50.348000,2023-05-22 15:48:16.160000,1148.048,1233.86,85.812,5,13_simple
CODE EDITING,2023-05-22 15:48:16.160000,2023-05-22 15:48:46,1233.86,1263.7,29.84,5,13_simple
COMPILING,2023-05-22 15:48:46,2023-05-22 15:48:48.549000,1263.7,1266.249,2.549,5,13_simple
OUTPUT COMPREHENSION,2023-05-22 15:48:48.549000,2023-05-22 15:48:53.873000,1266.249,1271.573,5.324,5,13_simple
CODE EDITING,2023-05-22 15:48:53.873000,2023-05-22 15:48:56,1271.573,1273.7,2.127,5,13_simple
