State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-06 18:24:36.560000,2023-06-06 18:24:47.239000,0.0,10.679,10.679,0,0
TASK COMPREHENSION,2023-06-06 18:24:47.239000,2023-06-06 18:24:57.306000,10.679,20.746,10.067,1,144_original
FAULT LOCALIZATION,2023-06-06 18:24:57.306000,2023-06-06 18:25:18.858000,20.746,42.298,21.552,1,144_original
CODE EDITING,2023-06-06 18:25:18.858000,2023-06-06 18:25:37,42.298,60.44,18.142,1,144_original
COMPILING,2023-06-06 18:25:37,2023-06-06 18:25:41.390000,60.44,64.83,4.39,1,144_original
OUTPUT COMPREHENSION,2023-06-06 18:25:41.390000,2023-06-06 18:25:52.439000,64.83,75.879,11.049,1,144_original
TASK COMPREHENSION,2023-06-06 18:25:52.439000,2023-06-06 18:25:56.454000,75.879,79.894,4.015,2,104_complex
FAULT LOCALIZATION,2023-06-06 18:25:56.454000,2023-06-06 18:26:13.476000,79.894,96.916,17.022,2,104_complex
CODE EDITING,2023-06-06 18:26:13.476000,2023-06-06 18:26:23,96.916,106.44,9.524,2,104_complex
COMPILING,2023-06-06 18:26:23,2023-06-06 18:26:26.534000,106.44,109.974,3.534,2,104_complex
OUTPUT COMPREHENSION,2023-06-06 18:26:26.534000,2023-06-06 18:26:33.555000,109.974,116.995,7.021,2,104_complex
IDLE,2023-06-06 18:26:33.555000,2023-06-06 18:26:35.556000,116.995,118.996,2.001,3,1_original
TASK COMPREHENSION,2023-06-06 18:26:35.556000,2023-06-06 18:26:43.598000,118.996,127.038,8.042,3,1_original
FAULT LOCALIZATION,2023-06-06 18:26:43.598000,2023-06-06 18:27:08.301000,127.038,151.741,24.703,3,1_original
CODE EDITING,2023-06-06 18:27:08.301000,2023-06-06 18:28:20,151.741,223.44,71.699,3,1_original
COMPILING,2023-06-06 18:28:20,2023-06-06 18:28:24.818000,223.44,228.258,4.818,3,1_original
OUTPUT COMPREHENSION,2023-06-06 18:28:24.818000,2023-06-06 18:30:51.493000,228.258,374.933,146.675,3,1_original
CODE EDITING,2023-06-06 18:30:51.493000,2023-06-06 18:33:45,374.933,548.44,173.507,3,1_original
COMPILING,2023-06-06 18:33:45,2023-06-06 18:33:48.423000,548.44,551.863,3.423,3,1_original
OUTPUT COMPREHENSION,2023-06-06 18:33:48.423000,2023-06-06 18:33:57.454000,551.863,560.894,9.031,3,1_original
IDLE,2023-06-06 18:33:57.454000,2023-06-06 18:33:59.474000,560.894,562.914,2.02,4,108_nonword
TASK COMPREHENSION,2023-06-06 18:33:59.474000,2023-06-06 18:34:12.485000,562.914,575.925,13.011,4,108_nonword
FAULT LOCALIZATION,2023-06-06 18:34:12.485000,2023-06-06 18:34:32.474000,575.925,595.914,19.989,4,108_nonword
CODE EDITING,2023-06-06 18:34:32.474000,2023-06-06 18:34:50,595.914,613.44,17.526,4,108_nonword
COMPILING,2023-06-06 18:34:50,2023-06-06 18:34:52.601000,613.44,616.041,2.601,4,108_nonword
OUTPUT COMPREHENSION,2023-06-06 18:34:52.601000,2023-06-06 18:34:59,616.041,622.44,6.399,4,108_nonword
COMPILING,2023-06-06 18:34:59,2023-06-06 18:35:01.638000,622.44,625.078,2.638,4,108_nonword
OUTPUT COMPREHENSION,2023-06-06 18:35:01.638000,2023-06-06 18:35:29.666000,625.078,653.106,28.028,4,108_nonword
CODE EDITING,2023-06-06 18:35:29.666000,2023-06-06 18:35:57,653.106,680.44,27.334,4,108_nonword
COMPILING,2023-06-06 18:35:57,2023-06-06 18:36:00.752000,680.44,684.192,3.752,4,108_nonword
OUTPUT COMPREHENSION,2023-06-06 18:36:00.752000,2023-06-06 18:37:07.942000,684.192,751.382,67.19,4,108_nonword
CODE EDITING,2023-06-06 18:37:07.942000,2023-06-06 18:37:19,751.382,762.44,11.058,4,108_nonword
COMPILING,2023-06-06 18:37:19,2023-06-06 18:37:22.980000,762.44,766.42,3.98,4,108_nonword
OUTPUT COMPREHENSION,2023-06-06 18:37:22.980000,2023-06-06 18:37:53,766.42,796.44,30.02,4,108_nonword
COMPILING,2023-06-06 18:37:53,2023-06-06 18:37:56.070000,796.44,799.51,3.07,4,108_nonword
OUTPUT COMPREHENSION,2023-06-06 18:37:56.070000,2023-06-06 18:38:02.093000,799.51,805.533,6.023,4,108_nonword
TASK COMPREHENSION,2023-06-06 18:38:02.093000,2023-06-06 18:38:21.141000,805.533,824.581,19.048,5,121_complex
