State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-30 14:46:10.300000,2023-10-30 14:46:17.084000,0.0,6.784,6.784,0,0
TASK COMPREHENSION,2023-10-30 14:46:17.084000,2023-10-30 14:46:19.339000,6.784,9.039,2.255,1,203_simple
FAULT LOCALIZATION,2023-10-30 14:46:19.339000,2023-10-30 14:47:49.468000,9.039,99.168,90.129,1,203_simple
CODE EDITING,2023-10-30 14:47:49.468000,2023-10-30 14:48:39,99.168,148.7,49.532,1,203_simple
COMPILING,2023-10-30 14:48:39,2023-10-30 14:48:45.321000,148.7,155.021,6.321,1,203_simple
OUTPUT COMPREHENSION,2023-10-30 14:48:45.321000,2023-10-30 14:48:58.357000,155.021,168.057,13.036,1,203_simple
TASK COMPREHENSION,2023-10-30 14:48:58.357000,2023-10-30 14:48:59.369000,168.057,169.069,1.012,2,108_simple
FAULT LOCALIZATION,2023-10-30 14:48:59.369000,2023-10-30 14:51:17.481000,169.069,307.181,138.112,2,108_simple
CODE EDITING,2023-10-30 14:51:17.481000,2023-10-30 14:51:48,307.181,337.7,30.519,2,108_simple
COMPILING,2023-10-30 14:51:48,2023-10-30 14:51:53.781000,337.7,343.481,5.781,2,108_simple
OUTPUT COMPREHENSION,2023-10-30 14:51:53.781000,2023-10-30 14:52:55.965000,343.481,405.665,62.184,2,108_simple
CODE EDITING,2023-10-30 14:52:55.965000,2023-10-30 14:55:47.110000,405.665,576.81,171.145,2,108_simple
TASK COMPREHENSION,2023-10-30 14:55:47.110000,2023-10-30 14:55:49.117000,576.81,578.817,2.007,3,13_complex
FAULT LOCALIZATION,2023-10-30 14:55:49.117000,2023-10-30 14:56:30.005000,578.817,619.705,40.888,3,13_complex
CODE EDITING,2023-10-30 14:56:30.005000,2023-10-30 14:58:01,619.705,710.7,90.995,3,13_complex
COMPILING,2023-10-30 14:58:01,2023-10-30 14:58:06.321000,710.7,716.021,5.321,3,13_complex
OUTPUT COMPREHENSION,2023-10-30 14:58:06.321000,2023-10-30 14:58:50.687000,716.021,760.387,44.366,3,13_complex
CODE EDITING,2023-10-30 14:58:50.687000,2023-10-30 14:59:48,760.387,817.7,57.313,3,13_complex
COMPILING,2023-10-30 14:59:48,2023-10-30 14:59:56.548000,817.7,826.248,8.548,3,13_complex
OUTPUT COMPREHENSION,2023-10-30 14:59:56.548000,2023-10-30 15:00:03.953000,826.248,833.653,7.405,3,13_complex
CODE EDITING,2023-10-30 15:00:03.953000,2023-10-30 15:01:34,833.653,923.7,90.047,3,13_complex
COMPILING,2023-10-30 15:01:34,2023-10-30 15:01:42.811000,923.7,932.511,8.811,3,13_complex
OUTPUT COMPREHENSION,2023-10-30 15:01:42.811000,2023-10-30 15:01:50.365000,932.511,940.065,7.554,3,13_complex
CODE EDITING,2023-10-30 15:01:50.365000,2023-10-30 15:02:04.856000,940.065,954.556,14.491,3,13_complex
TASK COMPREHENSION,2023-10-30 15:02:04.856000,2023-10-30 15:02:05.860000,954.556,955.56,1.004,4,66_original
FAULT LOCALIZATION,2023-10-30 15:02:05.860000,2023-10-30 15:03:11.982000,955.56,1021.682,66.122,4,66_original
CODE EDITING,2023-10-30 15:03:11.982000,2023-10-30 15:04:05,1021.682,1074.7,53.018,4,66_original
COMPILING,2023-10-30 15:04:05,2023-10-30 15:04:10.182000,1074.7,1079.882,5.182,4,66_original
OUTPUT COMPREHENSION,2023-10-30 15:04:10.182000,2023-10-30 15:04:16.928000,1079.882,1086.628,6.746,4,66_original
CODE EDITING,2023-10-30 15:04:16.928000,2023-10-30 15:04:19,1086.628,1088.7,2.072,4,66_original
COMPILING,2023-10-30 15:04:19,2023-10-30 15:04:24.208000,1088.7,1093.908,5.208,4,66_original
OUTPUT COMPREHENSION,2023-10-30 15:04:24.208000,2023-10-30 15:04:33.251000,1093.908,1102.951,9.043,4,66_original
TASK COMPREHENSION,2023-10-30 15:04:33.251000,2023-10-30 15:04:34.252000,1102.951,1103.952,1.001,5,35_original
FAULT LOCALIZATION,2023-10-30 15:04:34.252000,2023-10-30 15:05:46.287000,1103.952,1175.987,72.035,5,35_original
CODE EDITING,2023-10-30 15:05:46.287000,2023-10-30 15:06:17,1175.987,1206.7,30.713,5,35_original
COMPILING,2023-10-30 15:06:17,2023-10-30 15:06:25.517000,1206.7,1215.217,8.517,5,35_original
OUTPUT COMPREHENSION,2023-10-30 15:06:25.517000,2023-10-30 15:06:33.544000,1215.217,1223.244,8.027,5,35_original
TASK COMPREHENSION,2023-10-30 15:06:33.544000,2023-10-30 15:06:34.562000,1223.244,1224.262,1.018,6,144_nonword
FAULT LOCALIZATION,2023-10-30 15:06:34.562000,2023-10-30 15:07:47.551000,1224.262,1297.251,72.989,6,144_nonword
CODE EDITING,2023-10-30 15:07:47.551000,2023-10-30 15:08:00,1297.251,1309.7,12.449,6,144_nonword
COMPILING,2023-10-30 15:08:00,2023-10-30 15:08:03.777000,1309.7,1313.477,3.777,6,144_nonword
OUTPUT COMPREHENSION,2023-10-30 15:08:03.777000,2023-10-30 15:08:13.794000,1313.477,1323.494,10.017,6,144_nonword
TASK COMPREHENSION,2023-10-30 15:08:13.794000,2023-10-30 15:08:15.821000,1323.494,1325.521,2.027,7,1_original
FAULT LOCALIZATION,2023-10-30 15:08:15.821000,2023-10-30 15:09:27.096000,1325.521,1396.796,71.275,7,1_original
CODE EDITING,2023-10-30 15:09:27.096000,2023-10-30 15:09:47,1396.796,1416.7,19.904,7,1_original
COMPILING,2023-10-30 15:09:47,2023-10-30 15:09:50.992000,1416.7,1420.692,3.992,7,1_original
OUTPUT COMPREHENSION,2023-10-30 15:09:50.992000,2023-10-30 15:10:03.024000,1420.692,1432.724,12.032,7,1_original
TASK COMPREHENSION,2023-10-30 15:10:03.024000,2023-10-30 15:10:04.037000,1432.724,1433.737,1.013,8,112_original
FAULT LOCALIZATION,2023-10-30 15:10:04.037000,2023-10-30 15:11:36.976000,1433.737,1526.676,92.939,8,112_original
CODE EDITING,2023-10-30 15:11:36.976000,2023-10-30 15:11:57,1526.676,1546.7,20.024,8,112_original
COMPILING,2023-10-30 15:11:57,2023-10-30 15:12:01.273000,1546.7,1550.973,4.273,8,112_original
OUTPUT COMPREHENSION,2023-10-30 15:12:01.273000,2023-10-30 15:12:31,1550.973,1580.7,29.727,8,112_original
COMPILING,2023-10-30 15:12:31,2023-10-30 15:12:35.693000,1580.7,1585.393,4.693,8,112_original
OUTPUT COMPREHENSION,2023-10-30 15:12:35.693000,2023-10-30 15:13:10.623000,1585.393,1620.323,34.93,8,112_original
CODE EDITING,2023-10-30 15:13:10.623000,2023-10-30 15:13:37,1620.323,1646.7,26.377,8,112_original
COMPILING,2023-10-30 15:13:37,2023-10-30 15:13:50.868000,1646.7,1660.568,13.868,8,112_original
