State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-18 19:25:06,2023-10-18 19:25:09.476000,0.0,3.476,3.476,0,0
TASK COMPREHENSION,2023-10-18 19:25:09.476000,2023-10-18 19:25:13.488000,3.476,7.488,4.012,1,13_complex
FAULT LOCALIZATION,2023-10-18 19:25:13.488000,2023-10-18 19:26:15.281000,7.488,69.281,61.793,1,13_complex
CODE EDITING,2023-10-18 19:26:15.281000,2023-10-18 19:26:42,69.281,96.0,26.719,1,13_complex
COMPILING,2023-10-18 19:26:42,2023-10-18 19:26:46.729000,96.0,100.729,4.729,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:26:46.729000,2023-10-18 19:27:42.714000,100.729,156.714,55.985,1,13_complex
CODE EDITING,2023-10-18 19:27:42.714000,2023-10-18 19:28:42,156.714,216.0,59.286,1,13_complex
COMPILING,2023-10-18 19:28:42,2023-10-18 19:28:44.962000,216.0,218.962,2.962,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:28:44.962000,2023-10-18 19:28:54.075000,218.962,228.075,9.113,1,13_complex
CODE EDITING,2023-10-18 19:28:54.075000,2023-10-18 19:28:56,228.075,230.0,1.925,1,13_complex
COMPILING,2023-10-18 19:28:56,2023-10-18 19:29:00.979000,230.0,234.979,4.979,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:29:00.979000,2023-10-18 19:29:42.752000,234.979,276.752,41.773,1,13_complex
CODE EDITING,2023-10-18 19:29:42.752000,2023-10-18 19:29:50,276.752,284.0,7.248,1,13_complex
COMPILING,2023-10-18 19:29:50,2023-10-18 19:29:54.070000,284.0,288.07,4.07,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:29:54.070000,2023-10-18 19:30:01.938000,288.07,295.938,7.868,1,13_complex
CODE EDITING,2023-10-18 19:30:01.938000,2023-10-18 19:30:04,295.938,298.0,2.062,1,13_complex
COMPILING,2023-10-18 19:30:04,2023-10-18 19:30:12.116000,298.0,306.116,8.116,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:30:12.116000,2023-10-18 19:30:18.012000,306.116,312.012,5.896,1,13_complex
CODE EDITING,2023-10-18 19:30:18.012000,2023-10-18 19:30:26,312.012,320.0,7.988,1,13_complex
COMPILING,2023-10-18 19:30:26,2023-10-18 19:30:29.175000,320.0,323.175,3.175,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:30:29.175000,2023-10-18 19:30:40.458000,323.175,334.458,11.283,1,13_complex
CODE EDITING,2023-10-18 19:30:40.458000,2023-10-18 19:30:51,334.458,345.0,10.542,1,13_complex
COMPILING,2023-10-18 19:30:51,2023-10-18 19:30:54.217000,345.0,348.217,3.217,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:30:54.217000,2023-10-18 19:31:04.851000,348.217,358.851,10.634,1,13_complex
CODE EDITING,2023-10-18 19:31:04.851000,2023-10-18 19:31:12,358.851,366.0,7.149,1,13_complex
COMPILING,2023-10-18 19:31:12,2023-10-18 19:31:15.238000,366.0,369.238,3.238,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:31:15.238000,2023-10-18 19:31:21.442000,369.238,375.442,6.204,1,13_complex
CODE EDITING,2023-10-18 19:31:21.442000,2023-10-18 19:31:29,375.442,383.0,7.558,1,13_complex
COMPILING,2023-10-18 19:31:29,2023-10-18 19:31:31.256000,383.0,385.256,2.256,1,13_complex
OUTPUT COMPREHENSION,2023-10-18 19:31:31.256000,2023-10-18 19:31:38.260000,385.256,392.26,7.004,1,13_complex
TASK COMPREHENSION,2023-10-18 19:31:38.260000,2023-10-18 19:32:10.293000,392.26,424.293,32.033,2,108_complex
FAULT LOCALIZATION,2023-10-18 19:32:10.293000,2023-10-18 19:32:45.460000,424.293,459.46,35.167,2,108_complex
CODE EDITING,2023-10-18 19:32:45.460000,2023-10-18 19:33:08,459.46,482.0,22.54,2,108_complex
COMPILING,2023-10-18 19:33:08,2023-10-18 19:33:11.380000,482.0,485.38,3.38,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:33:11.380000,2023-10-18 19:33:20.696000,485.38,494.696,9.316,2,108_complex
CODE EDITING,2023-10-18 19:33:20.696000,2023-10-18 19:33:34,494.696,508.0,13.304,2,108_complex
COMPILING,2023-10-18 19:33:34,2023-10-18 19:33:37.419000,508.0,511.419,3.419,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:33:37.419000,2023-10-18 19:33:57.736000,511.419,531.736,20.317,2,108_complex
CODE EDITING,2023-10-18 19:33:57.736000,2023-10-18 19:36:50,531.736,704.0,172.264,2,108_complex
COMPILING,2023-10-18 19:36:50,2023-10-18 19:36:54.979000,704.0,708.979,4.979,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:36:54.979000,2023-10-18 19:37:10.241000,708.979,724.241,15.262,2,108_complex
CODE EDITING,2023-10-18 19:37:10.241000,2023-10-18 19:37:48,724.241,762.0,37.759,2,108_complex
COMPILING,2023-10-18 19:37:48,2023-10-18 19:37:51.089000,762.0,765.089,3.089,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:37:51.089000,2023-10-18 19:38:08.992000,765.089,782.992,17.903,2,108_complex
CODE EDITING,2023-10-18 19:38:08.992000,2023-10-18 19:38:11,782.992,785.0,2.008,2,108_complex
COMPILING,2023-10-18 19:38:11,2023-10-18 19:38:16.113000,785.0,790.113,5.113,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:38:16.113000,2023-10-18 19:38:25.072000,790.113,799.072,8.959,2,108_complex
CODE EDITING,2023-10-18 19:38:25.072000,2023-10-18 19:38:34,799.072,808.0,8.928,2,108_complex
COMPILING,2023-10-18 19:38:34,2023-10-18 19:38:37.176000,808.0,811.176,3.176,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:38:37.176000,2023-10-18 19:39:40.224000,811.176,874.224,63.048,2,108_complex
CODE EDITING,2023-10-18 19:39:40.224000,2023-10-18 19:40:01,874.224,895.0,20.776,2,108_complex
COMPILING,2023-10-18 19:40:01,2023-10-18 19:40:09.336000,895.0,903.336,8.336,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:40:09.336000,2023-10-18 19:40:20.633000,903.336,914.633,11.297,2,108_complex
CODE EDITING,2023-10-18 19:40:20.633000,2023-10-18 19:40:36,914.633,930.0,15.367,2,108_complex
COMPILING,2023-10-18 19:40:36,2023-10-18 19:40:40.365000,930.0,934.365,4.365,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:40:40.365000,2023-10-18 19:40:52.979000,934.365,946.979,12.614,2,108_complex
CODE EDITING,2023-10-18 19:40:52.979000,2023-10-18 19:41:18,946.979,972.0,25.021,2,108_complex
COMPILING,2023-10-18 19:41:18,2023-10-18 19:41:22.425000,972.0,976.425,4.425,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:41:22.425000,2023-10-18 19:41:32.571000,976.425,986.571,10.146,2,108_complex
CODE EDITING,2023-10-18 19:41:32.571000,2023-10-18 19:42:02,986.571,1016.0,29.429,2,108_complex
COMPILING,2023-10-18 19:42:02,2023-10-18 19:42:05.512000,1016.0,1019.512,3.512,2,108_complex
OUTPUT COMPREHENSION,2023-10-18 19:42:05.512000,2023-10-18 19:42:13.529000,1019.512,1027.529,8.017,2,108_complex
TASK COMPREHENSION,2023-10-18 19:42:13.529000,2023-10-18 19:42:21.538000,1027.529,1035.538,8.009,3,203_complex
FAULT LOCALIZATION,2023-10-18 19:42:21.538000,2023-10-18 19:43:13.505000,1035.538,1087.505,51.967,3,203_complex
CODE EDITING,2023-10-18 19:43:13.505000,2023-10-18 19:44:04,1087.505,1138.0,50.495,3,203_complex
COMPILING,2023-10-18 19:44:04,2023-10-18 19:44:07.729000,1138.0,1141.729,3.729,3,203_complex
OUTPUT COMPREHENSION,2023-10-18 19:44:07.729000,2023-10-18 19:44:41.636000,1141.729,1175.636,33.907,3,203_complex
CODE EDITING,2023-10-18 19:44:41.636000,2023-10-18 19:44:47,1175.636,1181.0,5.364,3,203_complex
COMPILING,2023-10-18 19:44:47,2023-10-18 19:46:02.366000,1181.0,1256.366,75.366,3,203_complex
OUTPUT COMPREHENSION,2023-10-18 19:46:02.366000,2023-10-18 19:46:13.387000,1256.366,1267.387,11.021,3,203_complex
TASK COMPREHENSION,2023-10-18 19:46:13.387000,2023-10-18 19:46:33.402000,1267.387,1287.402,20.015,4,112_nonword
FAULT LOCALIZATION,2023-10-18 19:46:33.402000,2023-10-18 19:46:59.865000,1287.402,1313.865,26.463,4,112_nonword
CODE EDITING,2023-10-18 19:46:59.865000,2023-10-18 19:48:39,1313.865,1413.0,99.135,4,112_nonword
COMPILING,2023-10-18 19:48:39,2023-10-18 19:50:12.964000,1413.0,1506.964,93.964,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:50:12.964000,2023-10-18 19:50:18.393000,1506.964,1512.393,5.429,4,112_nonword
CODE EDITING,2023-10-18 19:50:18.393000,2023-10-18 19:50:25,1512.393,1519.0,6.607,4,112_nonword
COMPILING,2023-10-18 19:50:25,2023-10-18 19:50:43.546000,1519.0,1537.546,18.546,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:50:43.546000,2023-10-18 19:51:15.820000,1537.546,1569.82,32.274,4,112_nonword
CODE EDITING,2023-10-18 19:51:15.820000,2023-10-18 19:51:23,1569.82,1577.0,7.18,4,112_nonword
COMPILING,2023-10-18 19:51:23,2023-10-18 19:51:26.598000,1577.0,1580.598,3.598,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:51:26.598000,2023-10-18 19:51:37.758000,1580.598,1591.758,11.16,4,112_nonword
CODE EDITING,2023-10-18 19:51:37.758000,2023-10-18 19:51:45,1591.758,1599.0,7.242,4,112_nonword
COMPILING,2023-10-18 19:51:45,2023-10-18 19:51:48.641000,1599.0,1602.641,3.641,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:51:48.641000,2023-10-18 19:52:15.710000,1602.641,1629.71,27.069,4,112_nonword
IDLE,2023-10-18 19:52:15.710000,2023-10-18 19:52:46,1629.71,1660.0,30.29,3,203_complex
COMPILING,2023-10-18 19:52:46,2023-10-18 19:52:49.794000,1660.0,1663.794,3.794,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:52:49.794000,2023-10-18 19:53:10.294000,1663.794,1684.294,20.5,4,112_nonword
CODE EDITING,2023-10-18 19:53:10.294000,2023-10-18 19:53:17,1684.294,1691.0,6.706,4,112_nonword
COMPILING,2023-10-18 19:53:17,2023-10-18 19:54:53.269000,1691.0,1787.269,96.269,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:54:53.269000,2023-10-18 19:54:56.859000,1787.269,1790.859,3.59,4,112_nonword
CODE EDITING,2023-10-18 19:54:56.859000,2023-10-18 19:55:02,1790.859,1796.0,5.141,4,112_nonword
COMPILING,2023-10-18 19:55:02,2023-10-18 19:55:06.325000,1796.0,1800.325,4.325,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:55:06.325000,2023-10-18 19:55:19.391000,1800.325,1813.391,13.066,4,112_nonword
CODE EDITING,2023-10-18 19:55:19.391000,2023-10-18 19:55:59,1813.391,1853.0,39.609,4,112_nonword
COMPILING,2023-10-18 19:55:59,2023-10-18 19:56:02.423000,1853.0,1856.423,3.423,4,112_nonword
OUTPUT COMPREHENSION,2023-10-18 19:56:02.423000,2023-10-18 19:56:14.446000,1856.423,1868.446,12.023,4,112_nonword
TASK COMPREHENSION,2023-10-18 19:56:14.446000,2023-10-18 19:56:23.470000,1868.446,1877.47,9.024,5,104_nonword
FAULT LOCALIZATION,2023-10-18 19:56:23.470000,2023-10-18 19:56:51.551000,1877.47,1905.551,28.081,5,104_nonword
CODE EDITING,2023-10-18 19:56:51.551000,2023-10-18 19:57:03,1905.551,1917.0,11.449,5,104_nonword
COMPILING,2023-10-18 19:57:03,2023-10-18 19:57:08.511000,1917.0,1922.511,5.511,5,104_nonword
