State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-06-12 18:44:47.230000,2023-06-12 18:44:56.980000,0.0,9.75,9.75,0,0
TASK COMPREHENSION,2023-06-12 18:44:56.980000,2023-06-12 18:45:28.009000,9.75,40.779,31.029,1,13_nonword
FAULT LOCALIZATION,2023-06-12 18:45:28.009000,2023-06-12 18:47:28.482000,40.779,161.252,120.473,1,13_nonword
CODE EDITING,2023-06-12 18:47:28.482000,2023-06-12 18:47:39,161.252,171.77,10.518,1,13_nonword
COMPILING,2023-06-12 18:47:39,2023-06-12 18:47:42.218000,171.77,174.988,3.218,1,13_nonword
OUTPUT COMPREHENSION,2023-06-12 18:47:42.218000,2023-06-12 18:49:37.954000,174.988,290.724,115.736,1,13_nonword
CODE EDITING,2023-06-12 18:49:37.954000,2023-06-12 18:49:46,290.724,298.77,8.046,1,13_nonword
COMPILING,2023-06-12 18:49:46,2023-06-12 18:49:49.352000,298.77,302.122,3.352,1,13_nonword
OUTPUT COMPREHENSION,2023-06-12 18:49:49.352000,2023-06-12 18:49:55.356000,302.122,308.126,6.004,1,13_nonword
CODE EDITING,2023-06-12 18:49:55.356000,2023-06-12 18:49:57,308.126,309.77,1.644,1,13_nonword
COMPILING,2023-06-12 18:49:57,2023-06-12 18:50:01.388000,309.77,314.158,4.388,1,13_nonword
OUTPUT COMPREHENSION,2023-06-12 18:50:01.388000,2023-06-12 18:50:18.389000,314.158,331.159,17.001,1,13_nonword
CODE EDITING,2023-06-12 18:50:18.389000,2023-06-12 18:50:27,331.159,339.77,8.611,1,13_nonword
COMPILING,2023-06-12 18:50:27,2023-06-12 18:50:30.418000,339.77,343.188,3.418,1,13_nonword
OUTPUT COMPREHENSION,2023-06-12 18:50:30.418000,2023-06-12 18:50:48.786000,343.188,361.556,18.368,1,13_nonword
CODE EDITING,2023-06-12 18:50:48.786000,2023-06-12 18:50:53,361.556,365.77,4.214,1,13_nonword
COMPILING,2023-06-12 18:50:53,2023-06-12 18:50:56.469000,365.77,369.239,3.469,1,13_nonword
OUTPUT COMPREHENSION,2023-06-12 18:50:56.469000,2023-06-12 18:51:09.493000,369.239,382.263,13.024,1,13_nonword
IDLE,2023-06-12 18:51:09.493000,2023-06-12 18:51:10.495000,382.263,383.265,1.002,2,1_nonword
TASK COMPREHENSION,2023-06-12 18:51:10.495000,2023-06-12 18:52:24.013000,383.265,456.783,73.518,2,1_nonword
CODE EDITING,2023-06-12 18:52:24.013000,2023-06-12 18:55:11,456.783,623.77,166.987,2,1_nonword
COMPILING,2023-06-12 18:55:11,2023-06-12 18:55:14.888000,623.77,627.658,3.888,2,1_nonword
OUTPUT COMPREHENSION,2023-06-12 18:55:14.888000,2023-06-12 18:55:40.310000,627.658,653.08,25.422,2,1_nonword
