State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-11-02 13:22:31.329000,2023-11-02 13:22:39.905000,0.0,8.576,8.576,0,0
TASK COMPREHENSION,2023-11-02 13:22:39.905000,2023-11-02 13:23:04.936000,8.576,33.607,25.031,1,35_complex
FAULT LOCALIZATION,2023-11-02 13:23:04.936000,2023-11-02 13:23:35.453000,33.607,64.124,30.517,1,35_complex
CODE EDITING,2023-11-02 13:23:35.453000,2023-11-02 13:23:53,64.124,81.671,17.547,1,35_complex
COMPILING,2023-11-02 13:23:53,2023-11-02 13:23:56.058000,81.671,84.729,3.058,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:23:56.058000,2023-11-02 13:24:11.837000,84.729,100.508,15.779,1,35_complex
CODE EDITING,2023-11-02 13:24:11.837000,2023-11-02 13:24:21,100.508,109.671,9.163,1,35_complex
COMPILING,2023-11-02 13:24:21,2023-11-02 13:24:23.135000,109.671,111.806,2.135,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:24:23.135000,2023-11-02 13:24:23.670000,111.806,112.341,0.535,1,35_complex
CODE EDITING,2023-11-02 13:24:23.670000,2023-11-02 13:25:21,112.341,169.671,57.33,1,35_complex
COMPILING,2023-11-02 13:25:21,2023-11-02 13:25:25.229000,169.671,173.9,4.229,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:25:25.229000,2023-11-02 13:26:21.155000,173.9,229.826,55.926,1,35_complex
CODE EDITING,2023-11-02 13:26:21.155000,2023-11-02 13:26:30,229.826,238.671,8.845,1,35_complex
COMPILING,2023-11-02 13:26:30,2023-11-02 13:26:33.346000,238.671,242.017,3.346,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:26:33.346000,2023-11-02 13:27:10.779000,242.017,279.45,37.433,1,35_complex
CODE EDITING,2023-11-02 13:27:10.779000,2023-11-02 13:27:25,279.45,293.671,14.221,1,35_complex
COMPILING,2023-11-02 13:27:25,2023-11-02 13:27:28.434000,293.671,297.105,3.434,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:27:28.434000,2023-11-02 13:27:34.835000,297.105,303.506,6.401,1,35_complex
CODE EDITING,2023-11-02 13:27:34.835000,2023-11-02 13:27:49,303.506,317.671,14.165,1,35_complex
COMPILING,2023-11-02 13:27:49,2023-11-02 13:27:52.510000,317.671,321.181,3.51,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:27:52.510000,2023-11-02 13:28:04.103000,321.181,332.774,11.593,1,35_complex
CODE EDITING,2023-11-02 13:28:04.103000,2023-11-02 13:28:19,332.774,347.671,14.897,1,35_complex
COMPILING,2023-11-02 13:28:19,2023-11-02 13:28:22.585000,347.671,351.256,3.585,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:28:22.585000,2023-11-02 13:28:35.137000,351.256,363.808,12.552,1,35_complex
CODE EDITING,2023-11-02 13:28:35.137000,2023-11-02 13:28:43,363.808,371.671,7.863,1,35_complex
COMPILING,2023-11-02 13:28:43,2023-11-02 13:28:45.616000,371.671,374.287,2.616,1,35_complex
OUTPUT COMPREHENSION,2023-11-02 13:28:45.616000,2023-11-02 13:28:54.653000,374.287,383.324,9.037,1,35_complex
TASK COMPREHENSION,2023-11-02 13:28:54.653000,2023-11-02 13:29:28.688000,383.324,417.359,34.035,2,136_nonword
FAULT LOCALIZATION,2023-11-02 13:29:28.688000,2023-11-02 13:30:03.763000,417.359,452.434,35.075,2,136_nonword
CODE EDITING,2023-11-02 13:30:03.763000,2023-11-02 13:32:32,452.434,600.671,148.237,2,136_nonword
COMPILING,2023-11-02 13:32:32,2023-11-02 13:32:34.947000,600.671,603.618,2.947,2,136_nonword
OUTPUT COMPREHENSION,2023-11-02 13:32:34.947000,2023-11-02 13:32:47.764000,603.618,616.435,12.817,2,136_nonword
CODE EDITING,2023-11-02 13:32:47.764000,2023-11-02 13:33:20,616.435,648.671,32.236,2,136_nonword
COMPILING,2023-11-02 13:33:20,2023-11-02 13:33:22.022000,648.671,650.693,2.022,2,136_nonword
OUTPUT COMPREHENSION,2023-11-02 13:33:22.022000,2023-11-02 13:33:59.460000,650.693,688.131,37.438,2,136_nonword
CODE EDITING,2023-11-02 13:33:59.460000,2023-11-02 13:37:55,688.131,923.671,235.54,2,136_nonword
COMPILING,2023-11-02 13:37:55,2023-11-02 13:37:57.482000,923.671,926.153,2.482,2,136_nonword
OUTPUT COMPREHENSION,2023-11-02 13:37:57.482000,2023-11-02 13:38:10.790000,926.153,939.461,13.308,2,136_nonword
CODE EDITING,2023-11-02 13:38:10.790000,2023-11-02 13:39:14.599000,939.461,1003.27,63.809,2,136_nonword
TASK COMPREHENSION,2023-11-02 13:39:14.599000,2023-11-02 13:39:34.651000,1003.27,1023.322,20.052,3,169_original
FAULT LOCALIZATION,2023-11-02 13:39:34.651000,2023-11-02 13:39:54.832000,1023.322,1043.503,20.181,3,169_original
CODE EDITING,2023-11-02 13:39:54.832000,2023-11-02 13:40:23,1043.503,1071.671,28.168,3,169_original
COMPILING,2023-11-02 13:40:23,2023-11-02 13:40:25.797000,1071.671,1074.468,2.797,3,169_original
OUTPUT COMPREHENSION,2023-11-02 13:40:25.797000,2023-11-02 13:40:35.816000,1074.468,1084.487,10.019,3,169_original
IDLE,2023-11-02 13:40:35.816000,2023-11-02 13:40:37.818000,1084.487,1086.489,2.002,4,13_simple
TASK COMPREHENSION,2023-11-02 13:40:37.818000,2023-11-02 13:41:13.887000,1086.489,1122.558,36.069,4,13_simple
FAULT LOCALIZATION,2023-11-02 13:41:13.887000,2023-11-02 13:42:49.014000,1122.558,1217.685,95.127,4,13_simple
CODE EDITING,2023-11-02 13:42:49.014000,2023-11-02 13:43:01,1217.685,1229.671,11.986,4,13_simple
COMPILING,2023-11-02 13:43:01,2023-11-02 13:43:04.038000,1229.671,1232.709,3.038,4,13_simple
OUTPUT COMPREHENSION,2023-11-02 13:43:04.038000,2023-11-02 13:43:15,1232.709,1243.671,10.962,4,13_simple
COMPILING,2023-11-02 13:43:15,2023-11-02 13:43:19.083000,1243.671,1247.754,4.083,4,13_simple
OUTPUT COMPREHENSION,2023-11-02 13:43:19.083000,2023-11-02 13:43:35.111000,1247.754,1263.782,16.028,4,13_simple
CODE EDITING,2023-11-02 13:43:35.111000,2023-11-02 13:43:46,1263.782,1274.671,10.889,4,13_simple
COMPILING,2023-11-02 13:43:46,2023-11-02 13:43:48.148000,1274.671,1276.819,2.148,4,13_simple
OUTPUT COMPREHENSION,2023-11-02 13:43:48.148000,2023-11-02 13:43:57.876000,1276.819,1286.547,9.728,4,13_simple
CODE EDITING,2023-11-02 13:43:57.876000,2023-11-02 13:44:05,1286.547,1293.671,7.124,4,13_simple
COMPILING,2023-11-02 13:44:05,2023-11-02 13:44:07.210000,1293.671,1295.881,2.21,4,13_simple
OUTPUT COMPREHENSION,2023-11-02 13:44:07.210000,2023-11-02 13:44:26.398000,1295.881,1315.069,19.188,4,13_simple
CODE EDITING,2023-11-02 13:44:26.398000,2023-11-02 13:44:31,1315.069,1319.671,4.602,4,13_simple
COMPILING,2023-11-02 13:44:31,2023-11-02 13:44:34.253000,1319.671,1322.924,3.253,4,13_simple
OUTPUT COMPREHENSION,2023-11-02 13:44:34.253000,2023-11-02 13:45:36.261000,1322.924,1384.932,62.008,4,13_simple
CODE EDITING,2023-11-02 13:45:36.261000,2023-11-02 13:48:48,1384.932,1576.671,191.739,4,13_simple
COMPILING,2023-11-02 13:48:48,2023-11-02 13:48:51.628000,1576.671,1580.299,3.628,4,13_simple
