State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-09 17:37:10.150000,2023-10-09 17:37:11.060000,0.0,0.91,0.91,0,0
TASK COMPREHENSION,2023-10-09 17:37:11.060000,2023-10-09 17:37:23.105000,0.91,12.955,12.045,1,104_complex
FAULT LOCALIZATION,2023-10-09 17:37:23.105000,2023-10-09 17:38:43.149000,12.955,92.999,80.044,1,104_complex
CODE EDITING,2023-10-09 17:38:43.149000,2023-10-09 17:40:09,92.999,178.85,85.851,1,104_complex
COMPILING,2023-10-09 17:40:09,2023-10-09 17:40:19.165000,178.85,189.015,10.165,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:40:19.165000,2023-10-09 17:40:32.902000,189.015,202.752,13.737,1,104_complex
CODE EDITING,2023-10-09 17:40:32.902000,2023-10-09 17:40:51,202.752,220.85,18.098,1,104_complex
COMPILING,2023-10-09 17:40:51,2023-10-09 17:41:01.221000,220.85,231.071,10.221,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:41:01.221000,2023-10-09 17:41:14.671000,231.071,244.521,13.45,1,104_complex
CODE EDITING,2023-10-09 17:41:14.671000,2023-10-09 17:41:24,244.521,253.85,9.329,1,104_complex
COMPILING,2023-10-09 17:41:24,2023-10-09 17:41:28.265000,253.85,258.115,4.265,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:41:28.265000,2023-10-09 17:41:39.995000,258.115,269.845,11.73,1,104_complex
CODE EDITING,2023-10-09 17:41:39.995000,2023-10-09 17:42:56,269.845,345.85,76.005,1,104_complex
COMPILING,2023-10-09 17:42:56,2023-10-09 17:42:59.444000,345.85,349.294,3.444,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:42:59.444000,2023-10-09 17:43:21.603000,349.294,371.453,22.159,1,104_complex
CODE EDITING,2023-10-09 17:43:21.603000,2023-10-09 17:44:11,371.453,420.85,49.397,1,104_complex
COMPILING,2023-10-09 17:44:11,2023-10-09 17:44:15.637000,420.85,425.487,4.637,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:44:15.637000,2023-10-09 17:44:19.040000,425.487,428.89,3.403,1,104_complex
CODE EDITING,2023-10-09 17:44:19.040000,2023-10-09 17:44:32,428.89,441.85,12.96,1,104_complex
COMPILING,2023-10-09 17:44:32,2023-10-09 17:44:35.671000,441.85,445.521,3.671,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:44:35.671000,2023-10-09 17:44:37.988000,445.521,447.838,2.317,1,104_complex
CODE EDITING,2023-10-09 17:44:37.988000,2023-10-09 17:46:55,447.838,584.85,137.012,1,104_complex
COMPILING,2023-10-09 17:46:55,2023-10-09 17:47:03.937000,584.85,593.787,8.937,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:47:03.937000,2023-10-09 17:47:06.336000,593.787,596.186,2.399,1,104_complex
CODE EDITING,2023-10-09 17:47:06.336000,2023-10-09 17:47:11,596.186,600.85,4.664,1,104_complex
COMPILING,2023-10-09 17:47:11,2023-10-09 17:47:17.969000,600.85,607.819,6.969,1,104_complex
OUTPUT COMPREHENSION,2023-10-09 17:47:17.969000,2023-10-09 17:48:42.366000,607.819,692.216,84.397,1,104_complex
