State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-05-23 15:32:55.400000,2023-05-23 15:33:01.309000,0.0,5.909,5.909,0,0
TASK COMPREHENSION,2023-05-23 15:33:01.309000,2023-05-23 15:33:43.399000,5.909,47.999,42.09,1,35_nonword
FAULT LOCALIZATION,2023-05-23 15:33:43.399000,2023-05-23 15:33:54.328000,47.999,58.928,10.929,1,35_nonword
CODE EDITING,2023-05-23 15:33:54.328000,2023-05-23 15:34:18,58.928,82.6,23.672,1,35_nonword
COMPILING,2023-05-23 15:34:18,2023-05-23 15:34:22.009000,82.6,86.609,4.009,1,35_nonword
OUTPUT COMPREHENSION,2023-05-23 15:34:22.009000,2023-05-23 15:34:29.709000,86.609,94.309,7.7,1,35_nonword
CODE EDITING,2023-05-23 15:34:29.709000,2023-05-23 15:35:18,94.309,142.6,48.291,1,35_nonword
COMPILING,2023-05-23 15:35:18,2023-05-23 15:35:21.141000,142.6,145.741,3.141,1,35_nonword
OUTPUT COMPREHENSION,2023-05-23 15:35:21.141000,2023-05-23 15:35:27.154000,145.741,151.754,6.013,1,35_nonword
TASK COMPREHENSION,2023-05-23 15:35:27.154000,2023-05-23 15:36:11.204000,151.754,195.804,44.05,2,104_complex
FAULT LOCALIZATION,2023-05-23 15:36:11.204000,2023-05-23 15:36:44.487000,195.804,229.087,33.283,2,104_complex
CODE EDITING,2023-05-23 15:36:44.487000,2023-05-23 15:37:32,229.087,276.6,47.513,2,104_complex
COMPILING,2023-05-23 15:37:32,2023-05-23 15:37:38.348000,276.6,282.948,6.348,2,104_complex
OUTPUT COMPREHENSION,2023-05-23 15:37:38.348000,2023-05-23 15:37:50.376000,282.948,294.976,12.028,2,104_complex
TASK COMPREHENSION,2023-05-23 15:37:50.376000,2023-05-23 15:39:03.452000,294.976,368.052,73.076,3,121_original
FAULT LOCALIZATION,2023-05-23 15:39:03.452000,2023-05-23 15:39:36.211000,368.052,400.811,32.759,3,121_original
CODE EDITING,2023-05-23 15:39:36.211000,2023-05-23 15:39:57,400.811,421.6,20.789,3,121_original
COMPILING,2023-05-23 15:39:57,2023-05-23 15:40:00.618000,421.6,425.218,3.618,3,121_original
OUTPUT COMPREHENSION,2023-05-23 15:40:00.618000,2023-05-23 15:40:20.891000,425.218,445.491,20.273,3,121_original
CODE EDITING,2023-05-23 15:40:20.891000,2023-05-23 15:41:19,445.491,503.6,58.109,3,121_original
COMPILING,2023-05-23 15:41:19,2023-05-23 15:41:22.725000,503.6,507.325,3.725,3,121_original
OUTPUT COMPREHENSION,2023-05-23 15:41:22.725000,2023-05-23 15:41:26.364000,507.325,510.964,3.639,3,121_original
CODE EDITING,2023-05-23 15:41:26.364000,2023-05-23 15:42:34,510.964,578.6,67.636,3,121_original
COMPILING,2023-05-23 15:42:34,2023-05-23 15:42:38,578.6,582.6,4.0,3,121_original
OUTPUT COMPREHENSION,2023-05-23 15:42:38,2023-05-23 15:42:59.991000,582.6,604.591,21.991,3,121_original
CODE EDITING,2023-05-23 15:42:59.991000,2023-05-23 15:44:26,604.591,690.6,86.009,3,121_original
COMPILING,2023-05-23 15:44:26,2023-05-23 15:44:30.295000,690.6,694.895,4.295,3,121_original
OUTPUT COMPREHENSION,2023-05-23 15:44:30.295000,2023-05-23 15:44:36.311000,694.895,700.911,6.016,3,121_original
TASK COMPREHENSION,2023-05-23 15:44:36.311000,2023-05-23 15:44:38.323000,700.911,702.923,2.012,4,203_complex
FAULT LOCALIZATION,2023-05-23 15:44:38.323000,2023-05-23 15:45:50.290000,702.923,774.89,71.967,4,203_complex
CODE EDITING,2023-05-23 15:45:50.290000,2023-05-23 15:46:30,774.89,814.6,39.71,4,203_complex
COMPILING,2023-05-23 15:46:30,2023-05-23 15:46:32.553000,814.6,817.153,2.553,4,203_complex
OUTPUT COMPREHENSION,2023-05-23 15:46:32.553000,2023-05-23 15:46:48.880000,817.153,833.48,16.327,4,203_complex
CODE EDITING,2023-05-23 15:46:48.880000,2023-05-23 15:47:01,833.48,845.6,12.12,4,203_complex
COMPILING,2023-05-23 15:47:01,2023-05-23 15:47:07.649000,845.6,852.249,6.649,4,203_complex
OUTPUT COMPREHENSION,2023-05-23 15:47:07.649000,2023-05-23 15:47:23.713000,852.249,868.313,16.064,4,203_complex
CODE EDITING,2023-05-23 15:47:23.713000,2023-05-23 15:47:41,868.313,885.6,17.287,4,203_complex
COMPILING,2023-05-23 15:47:41,2023-05-23 15:47:43.781000,885.6,888.381,2.781,4,203_complex
OUTPUT COMPREHENSION,2023-05-23 15:47:43.781000,2023-05-23 15:48:03.831000,888.381,908.431,20.05,4,203_complex
CODE EDITING,2023-05-23 15:48:03.831000,2023-05-23 15:48:34,908.431,938.6,30.169,4,203_complex
COMPILING,2023-05-23 15:48:34,2023-05-23 15:48:38.161000,938.6,942.761,4.161,4,203_complex
OUTPUT COMPREHENSION,2023-05-23 15:48:38.161000,2023-05-23 15:48:41.721000,942.761,946.321,3.56,4,203_complex
CODE EDITING,2023-05-23 15:48:41.721000,2023-05-23 15:49:23,946.321,987.6,41.279,4,203_complex
COMPILING,2023-05-23 15:49:23,2023-05-23 15:49:25.355000,987.6,989.955,2.355,4,203_complex
