State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-09-08 21:03:27.500000,2023-09-08 21:03:28.216000,0.0,0.716,0.716,0,0
TASK COMPREHENSION,2023-09-08 21:03:28.216000,2023-09-08 21:03:31.159000,0.716,3.659,2.943,1,169_simple
FAULT LOCALIZATION,2023-09-08 21:03:31.159000,2023-09-08 21:03:48.598000,3.659,21.098,17.439,1,169_simple
CODE EDITING,2023-09-08 21:03:48.598000,2023-09-08 21:08:12,21.098,284.5,263.402,1,169_simple
COMPILING,2023-09-08 21:08:12,2023-09-08 21:08:17.662000,284.5,290.162,5.662,1,169_simple
OUTPUT COMPREHENSION,2023-09-08 21:08:17.662000,2023-09-08 21:08:25.670000,290.162,298.17,8.008,1,169_simple
TASK COMPREHENSION,2023-09-08 21:08:25.670000,2023-09-08 21:08:26.683000,298.17,299.183,1.013,2,1_nonword
FAULT LOCALIZATION,2023-09-08 21:08:26.683000,2023-09-08 21:09:11.182000,299.183,343.682,44.499,2,1_nonword
CODE EDITING,2023-09-08 21:09:11.182000,2023-09-08 21:11:21,343.682,473.5,129.818,2,1_nonword
COMPILING,2023-09-08 21:11:21,2023-09-08 21:11:26.922000,473.5,479.422,5.922,2,1_nonword
OUTPUT COMPREHENSION,2023-09-08 21:11:26.922000,2023-09-08 21:11:37.936000,479.422,490.436,11.014,2,1_nonword
TASK COMPREHENSION,2023-09-08 21:11:37.936000,2023-09-08 21:11:41.946000,490.436,494.446,4.01,1,169_simple
FAULT LOCALIZATION,2023-09-08 21:11:41.946000,2023-09-08 21:13:58.390000,494.446,630.89,136.444,1,169_simple
CODE EDITING,2023-09-08 21:13:58.390000,2023-09-08 21:16:01,630.89,753.5,122.61,1,169_simple
COMPILING,2023-09-08 21:16:01,2023-09-08 21:16:08.365000,753.5,760.865,7.365,1,169_simple
OUTPUT COMPREHENSION,2023-09-08 21:16:08.365000,2023-09-08 21:16:10.368000,760.865,762.868,2.003,1,169_simple
IDLE,2023-09-08 21:16:10.368000,2023-09-08 21:16:22.420000,762.868,774.92,12.052,3,118_simple
TASK COMPREHENSION,2023-09-08 21:16:22.420000,2023-09-08 21:16:41.445000,774.92,793.945,19.025,4,203_nonword
FAULT LOCALIZATION,2023-09-08 21:16:41.445000,2023-09-08 21:16:48.406000,793.945,800.906,6.961,4,203_nonword
CODE EDITING,2023-09-08 21:16:48.406000,2023-09-08 21:17:35,800.906,847.5,46.594,4,203_nonword
COMPILING,2023-09-08 21:17:35,2023-09-08 21:17:39.540000,847.5,852.04,4.54,4,203_nonword
