State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
TASK COMPREHENSION,2023-06-13 20:21:31.846000,2023-06-13 20:21:33.985000,0.0,2.139,2.139,1,1_simple
FAULT LOCALIZATION,2023-06-13 20:21:33.985000,2023-06-13 20:23:17.032000,2.139,105.186,103.047,1,1_simple
CODE EDITING,2023-06-13 20:23:17.032000,2023-06-13 20:24:39,105.186,187.154,81.968,1,1_simple
COMPILING,2023-06-13 20:24:39,2023-06-13 20:24:43.115000,187.154,191.269,4.115,1,1_simple
OUTPUT COMPREHENSION,2023-06-13 20:24:43.115000,2023-06-13 20:25:06.172000,191.269,214.326,23.057,1,1_simple
TASK COMPREHENSION,2023-06-13 20:25:06.172000,2023-06-13 20:25:07.176000,214.326,215.33,1.004,2,108_nonword
FAULT LOCALIZATION,2023-06-13 20:25:07.176000,2023-06-13 20:28:00.666000,215.33,388.82,173.49,2,108_nonword
CODE EDITING,2023-06-13 20:28:00.666000,2023-06-13 20:28:36,388.82,424.154,35.334,2,108_nonword
COMPILING,2023-06-13 20:28:36,2023-06-13 20:28:40.602000,424.154,428.756,4.602,2,108_nonword
OUTPUT COMPREHENSION,2023-06-13 20:28:40.602000,2023-06-13 20:30:23.644000,428.756,531.798,103.042,2,108_nonword
CODE EDITING,2023-06-13 20:30:23.644000,2023-06-13 20:33:05,531.798,693.154,161.356,2,108_nonword
COMPILING,2023-06-13 20:33:05,2023-06-13 20:33:09.148000,693.154,697.302,4.148,2,108_nonword
OUTPUT COMPREHENSION,2023-06-13 20:33:09.148000,2023-06-13 20:33:18.742000,697.302,706.896,9.594,2,108_nonword
CODE EDITING,2023-06-13 20:33:18.742000,2023-06-13 20:33:24,706.896,712.154,5.258,2,108_nonword
COMPILING,2023-06-13 20:33:24,2023-06-13 20:33:28.231000,712.154,716.385,4.231,2,108_nonword
OUTPUT COMPREHENSION,2023-06-13 20:33:28.231000,2023-06-13 20:33:40.263000,716.385,728.417,12.032,2,108_nonword
TASK COMPREHENSION,2023-06-13 20:33:40.263000,2023-06-13 20:33:42.280000,728.417,730.434,2.017,3,169_nonword
FAULT LOCALIZATION,2023-06-13 20:33:42.280000,2023-06-13 20:35:23.997000,730.434,832.151,101.717,3,169_nonword
CODE EDITING,2023-06-13 20:35:23.997000,2023-06-13 20:36:02,832.151,870.154,38.003,3,169_nonword
COMPILING,2023-06-13 20:36:02,2023-06-13 20:36:05.633000,870.154,873.787,3.633,3,169_nonword
OUTPUT COMPREHENSION,2023-06-13 20:36:05.633000,2023-06-13 20:36:19.647000,873.787,887.801,14.014,3,169_nonword
