State,Start Timestamp,End Timestamp,Begin Time,End Time,Duration,problemNum,programType
START,2023-10-10 17:21:31.121000,2023-10-10 17:21:33.910000,0.0,2.789,2.789,0,0
TASK COMPREHENSION,2023-10-10 17:21:33.910000,2023-10-10 17:22:10.977000,2.789,39.856,37.067,1,13_complex
FAULT LOCALIZATION,2023-10-10 17:22:10.977000,2023-10-10 17:22:44.355000,39.856,73.234,33.378,1,13_complex
CODE EDITING,2023-10-10 17:22:44.355000,2023-10-10 17:23:28,73.234,116.879,43.645,1,13_complex
COMPILING,2023-10-10 17:23:28,2023-10-10 17:23:39.157000,116.879,128.036,11.157,1,13_complex
OUTPUT COMPREHENSION,2023-10-10 17:23:39.157000,2023-10-10 17:24:42.031000,128.036,190.91,62.874,1,13_complex
CODE EDITING,2023-10-10 17:24:42.031000,2023-10-10 17:25:07,190.91,215.879,24.969,1,13_complex
COMPILING,2023-10-10 17:25:07,2023-10-10 17:25:16.253000,215.879,225.132,9.253,1,13_complex
OUTPUT COMPREHENSION,2023-10-10 17:25:16.253000,2023-10-10 17:25:28.671000,225.132,237.55,12.418,1,13_complex
CODE EDITING,2023-10-10 17:25:28.671000,2023-10-10 17:25:37,237.55,245.879,8.329,1,13_complex
COMPILING,2023-10-10 17:25:37,2023-10-10 17:25:42.323000,245.879,251.202,5.323,1,13_complex
OUTPUT COMPREHENSION,2023-10-10 17:25:42.323000,2023-10-10 17:25:43,251.202,251.879,0.677,1,13_complex
COMPILING,2023-10-10 17:25:43,2023-10-10 17:26:45.418000,251.879,314.297,62.418,1,13_complex
OUTPUT COMPREHENSION,2023-10-10 17:26:45.418000,2023-10-10 17:26:52,314.297,320.879,6.582,1,13_complex
COMPILING,2023-10-10 17:26:52,2023-10-10 17:26:55.443000,320.879,324.322,3.443,1,13_complex
OUTPUT COMPREHENSION,2023-10-10 17:26:55.443000,2023-10-10 17:27:00.453000,324.322,329.332,5.01,1,13_complex
TASK COMPREHENSION,2023-10-10 17:27:00.453000,2023-10-10 17:28:32.551000,329.332,421.43,92.098,2,66_complex
FAULT LOCALIZATION,2023-10-10 17:28:32.551000,2023-10-10 17:29:11.744000,421.43,460.623,39.193,2,66_complex
CODE EDITING,2023-10-10 17:29:11.744000,2023-10-10 17:29:43,460.623,491.879,31.256,2,66_complex
COMPILING,2023-10-10 17:29:43,2023-10-10 17:29:49.671000,491.879,498.55,6.671,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:29:49.671000,2023-10-10 17:30:33.331000,498.55,542.21,43.66,2,66_complex
CODE EDITING,2023-10-10 17:30:33.331000,2023-10-10 17:30:39,542.21,547.879,5.669,2,66_complex
COMPILING,2023-10-10 17:30:39,2023-10-10 17:30:44.744000,547.879,553.623,5.744,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:30:44.744000,2023-10-10 17:30:54.763000,553.623,563.642,10.019,2,66_complex
IDLE,2023-10-10 17:30:54.763000,2023-10-10 17:32:47,563.642,675.879,112.237,1,13_complex
COMPILING,2023-10-10 17:32:47,2023-10-10 17:33:18.986000,675.879,707.865,31.986,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:33:18.986000,2023-10-10 17:34:43,707.865,791.879,84.014,2,66_complex
COMPILING,2023-10-10 17:34:43,2023-10-10 17:34:46.122000,791.879,795.001,3.122,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:34:46.122000,2023-10-10 17:35:05.713000,795.001,814.592,19.591,2,66_complex
CODE EDITING,2023-10-10 17:35:05.713000,2023-10-10 17:35:29,814.592,837.879,23.287,2,66_complex
COMPILING,2023-10-10 17:35:29,2023-10-10 17:35:34.215000,837.879,843.094,5.215,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:35:34.215000,2023-10-10 17:35:42.731000,843.094,851.61,8.516,2,66_complex
CODE EDITING,2023-10-10 17:35:42.731000,2023-10-10 17:36:08,851.61,876.879,25.269,2,66_complex
COMPILING,2023-10-10 17:36:08,2023-10-10 17:36:12.279000,876.879,881.158,4.279,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:36:12.279000,2023-10-10 17:36:20.451000,881.158,889.33,8.172,2,66_complex
CODE EDITING,2023-10-10 17:36:20.451000,2023-10-10 17:36:43,889.33,911.879,22.549,2,66_complex
COMPILING,2023-10-10 17:36:43,2023-10-10 17:36:46.299000,911.879,915.178,3.299,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:36:46.299000,2023-10-10 17:37:01.378000,915.178,930.257,15.079,2,66_complex
CODE EDITING,2023-10-10 17:37:01.378000,2023-10-10 17:37:32,930.257,960.879,30.622,2,66_complex
COMPILING,2023-10-10 17:37:32,2023-10-10 17:37:35.403000,960.879,964.282,3.403,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:37:35.403000,2023-10-10 17:37:40.946000,964.282,969.825,5.543,2,66_complex
CODE EDITING,2023-10-10 17:37:40.946000,2023-10-10 17:37:49,969.825,977.879,8.054,2,66_complex
COMPILING,2023-10-10 17:37:49,2023-10-10 17:37:52.463000,977.879,981.342,3.463,2,66_complex
OUTPUT COMPREHENSION,2023-10-10 17:37:52.463000,2023-10-10 17:38:02.264000,981.342,991.143,9.801,2,66_complex
CODE EDITING,2023-10-10 17:38:02.264000,2023-10-10 17:38:14.490000,991.143,1003.369,12.226,2,66_complex
TASK COMPREHENSION,2023-10-10 17:38:14.490000,2023-10-10 17:38:27.497000,1003.369,1016.376,13.007,3,144_simple
FAULT LOCALIZATION,2023-10-10 17:38:27.497000,2023-10-10 17:41:27.389000,1016.376,1196.268,179.892,3,144_simple
CODE EDITING,2023-10-10 17:41:27.389000,2023-10-10 17:42:06,1196.268,1234.879,38.611,3,144_simple
COMPILING,2023-10-10 17:42:06,2023-10-10 17:42:24.976000,1234.879,1253.855,18.976,3,144_simple
OUTPUT COMPREHENSION,2023-10-10 17:42:24.976000,2023-10-10 17:42:44.463000,1253.855,1273.342,19.487,3,144_simple
CODE EDITING,2023-10-10 17:42:44.463000,2023-10-10 17:42:51.034000,1273.342,1279.913,6.571,3,144_simple
TASK COMPREHENSION,2023-10-10 17:42:51.034000,2023-10-10 17:43:13.632000,1279.913,1302.511,22.598,1,13_complex
CODE EDITING,2023-10-10 17:43:13.632000,2023-10-10 17:43:26,1302.511,1314.879,12.368,3,144_simple
COMPILING,2023-10-10 17:43:26,2023-10-10 17:43:30.124000,1314.879,1319.003,4.124,3,144_simple
OUTPUT COMPREHENSION,2023-10-10 17:43:30.124000,2023-10-10 17:43:36,1319.003,1324.879,5.876,3,144_simple
COMPILING,2023-10-10 17:43:36,2023-10-10 17:43:40.158000,1324.879,1329.037,4.158,3,144_simple
OUTPUT COMPREHENSION,2023-10-10 17:43:40.158000,2023-10-10 17:45:52.334000,1329.037,1461.213,132.176,3,144_simple
CODE EDITING,2023-10-10 17:45:52.334000,2023-10-10 17:46:20,1461.213,1488.879,27.666,3,144_simple
COMPILING,2023-10-10 17:46:20,2023-10-10 17:46:24.382000,1488.879,1493.261,4.382,3,144_simple
OUTPUT COMPREHENSION,2023-10-10 17:46:24.382000,2023-10-10 17:47:15.697000,1493.261,1544.576,51.315,3,144_simple
