pID,occupation,YOE,gradeLvl,gender,isNativeSpeaker,numLanguages,hasDyslexia,hasImpairment,quizScore,MRScore,doneLeetcodeBefore,problemOrder,problemType,numBuilds,numComments,numPrints,numWindowSwitch,numPass,numDelAction,numUndoAction,numCursorAction,numClipboardAction,numCharsAction,numChars,avgWordLen,totalTime,timeTS,timeFL,timeCE,timeBuild,timeOC,numTS,numFL,numCE,numOC,problem,treatment,TOWRE A Standard Scores,TOWRE A RAW,TOWRE B Standard Scores,TOWRE B RAW,Total Reading Efficiency Score,Reading Difficulty,Categorical Reading
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,1,136_complex,2,0,0,141,1,11,0,0,0,2,452,226.0,77.22,1.009,20.493,14.812,6.724,34.186,1,1,1,2,136,complex,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,2,121_complex,2,0,0,130,1,14,0,1,0,12,58,4.833333333333333,127.58,1.002,32.896,22.297,7.322999999999999,64.057,1,1,2,2,121,complex,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,3,13_original,5,0,1,117,1,49,0,6,0,45,331,7.355555555555555,176.45,0.0,0.0,133.861,16.051,26.542,0,0,4,4,13,original,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,4,66_nonword,4,1,0,108,1,57,0,10,0,42,161,3.8333333333333335,236.98,2.005,24.156,166.183,17.106,27.533,1,1,4,4,66,nonword,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,5,169_nonword,1,0,0,95,1,21,0,0,0,5,63,12.6,66.15,1.003,30.936,26.139,4.072,4.003,1,1,1,1,169,nonword,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,6,203_simple,1,0,0,90,1,6,0,0,0,5,31,6.2,82.26,1.017,19.981,49.927,4.332,7.006,1,1,1,1,203,simple,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,7,35_complex,1,0,0,85,1,8,0,1,0,7,35,5.0,37.11,1.022,11.529,16.111,4.44,4.013,1,1,1,1,35,complex,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,8,118_simple,8,2,1,80,1,34,0,13,0,60,245,4.083333333333333,335.05,1.001,11.229,169.17200000000005,31.229,122.42300000000002,1,1,9,8,118,simple,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,9,104_original,1,0,0,43,1,2,0,1,0,4,37,9.25,27.89,0.0,0.0,18.144,3.703,6.04,0,0,1,1,104,original,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,10,108_complex,2,0,0,37,1,6,0,1,0,6,38,6.333333333333333,55.17,1.03,11.026,22.144,8.755,12.215,1,1,2,2,108,complex,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,11,1_simple,6,0,1,30,1,15,0,2,0,11,61,5.545454545454546,123.33,1.011,12.74,40.37499999999999,23.703,45.502,1,1,7,6,1,simple,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,12,144_original,1,0,0,14,1,0,0,0,0,2,16,8.0,29.08,2.005,7.479,7.272,3.295,9.029,1,1,1,1,144,original,81,77,81,37,162,1,Highly Below Average
C8F7PL,Undergraduate in Computer Science,2 years - 5 years,Senior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",45.45454545454545,75.0,Yes,13,112_nonword,3,0,0,9,1,0,0,0,0,0,0,0.0,170.72,1.007,13.363,63.306,84.64399999999999,8.397,1,1,1,2,112,nonword,81,77,81,37,162,1,Highly Below Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,1,121_nonword,3,0,0,99,1,15,0,0,0,9,53,5.888888888888889,501.9,1.244,56.209,260.332,9.838,174.279,1,1,3,3,121,nonword,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,2,66_simple,1,0,0,84,1,6,0,2,0,6,26,4.333333333333333,101.77,0.0,0.0,84.342,3.402,14.021,0,0,1,1,66,simple,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,3,13_complex,3,0,0,74,1,18,0,0,0,10,64,6.4,291.48,1.006,63.929,184.017,10.312,32.215,1,1,3,3,13,complex,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,4,108_simple,5,0,0,65,1,14,0,13,0,9,45,5.0,627.95,1.003,82.157,267.273,17.075,260.44,1,1,5,5,108,simple,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,5,136_original,2,0,0,46,1,23,0,4,0,12,49,4.083333333333333,250.41,28.04,7.947,176.371,9.423,28.631,1,1,2,2,136,original,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,7,144_nonword,1,0,0,25,1,0,0,1,0,3,17,5.666666666666667,137.18,1.008,58.961,55.686,6.502,15.023,1,1,1,1,144,nonword,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,8,169_original,1,0,0,16,1,10,0,0,0,4,52,13.0,140.26,1.003,36.461,92.011,3.778,7.008,1,1,1,1,169,original,98,96,100,56,198,0,Above Average
A6VK9K,Graduate Student in other field,2 years - 5 years,,Female,Y,,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,95.0,No,9,35_complex,2,0,0,11,1,1,0,0,0,5,28,5.6,134.21,1.001,27.825,89.388,5.97,10.03,1,1,1,1,35,complex,98,96,100,56,198,0,Above Average
ON21RS,Graduate Student in other field,4 months - 1 year,,Female,Y,,"Yes, I have a diagnosis of dyslexia","No, but I believe I have a learning disability that is not diagnosed",27.27272727272727,100.0,No,4,169_original,5,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,169,original,76,70,83,40,159,1,Highly Below Average
ON21RS,Graduate Student in other field,4 months - 1 year,,Female,Y,,"Yes, I have a diagnosis of dyslexia","No, but I believe I have a learning disability that is not diagnosed",27.27272727272727,100.0,No,5,66_complex,5,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66,complex,76,70,83,40,159,1,Highly Below Average
ACHSJ,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",63.63636363636363,100.0,No,2,66_nonword,2,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,66,nonword,82,79,82,39,164,1,Highly Below Average
ACHSJ,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",63.63636363636363,100.0,No,4,203_nonword,1,0,0,59,1,20,0,0,0,130,139,1.0692307692307692,180.82,2.32,43.364,122.32,5.771,7.047,1,1,1,1,203,nonword,82,79,82,39,164,1,Highly Below Average
ACHSJ,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",63.63636363636363,100.0,No,6,35_original,2,0,0,32,1,14,0,1,0,32,49,1.53125,97.21,1.0,7.897,28.494,10.77,49.045,1,1,2,2,35,original,82,79,82,39,164,1,Highly Below Average
ACHSJ,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,,"Yes, I have a diagnosis of dyslexia","No, I do not have any kind of learning impairment (to my best knowledge)",63.63636363636363,100.0,No,7,169_simple,3,0,0,25,1,61,0,5,0,43,69,1.6046511627906976,197.52,1.005,17.055,131.903,17.631999999999998,29.924000000000003,1,1,3,3,169,simple,82,79,82,39,164,1,Highly Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,1,1_simple,1,0,0,102,1,12,0,10,0,9,27,3.0,214.33,2.139,103.047,81.968,4.115,23.057,1,1,1,1,1,simple,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,3,169_nonword,1,0,0,76,1,6,0,5,0,3,41,13.666666666666666,159.38,2.017,101.717,38.003,3.633,14.014,1,1,1,1,169,nonword,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,4,118_original,4,0,1,67,1,47,0,21,0,20,91,4.55,347.77,1.005,67.354,213.06,14.864,51.489,1,1,4,4,118,original,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,5,203_nonword,5,0,0,56,1,15,0,3,0,4,41,10.25,374.17,16.015,75.384,156.56900000000002,67.795,58.409,1,1,4,4,203,nonword,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,6,104_nonword,1,0,0,38,1,34,0,1,0,8,49,6.125,219.53,1.019,36.489,166.891,4.126,11.009,1,1,1,1,104,nonword,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,7,35_original,1,0,0,33,1,7,0,0,0,4,26,6.5,65.16,1.004,31.92,21.941,3.287,7.007,1,1,1,1,35,original,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,8,13_complex,5,0,1,26,1,31,0,0,0,13,45,3.4615384615384617,423.88,2.033,39.6,306.639,23.876,51.728,1,1,5,5,13,complex,79,74,98,55,177,0,Below Average
TN3SVV,Full-time/Part-time Job in Computer Science related field,5 years - 10 years,,Male,N,3,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",72.72727272727273,85.0,Maybe,9,112_original,4,0,0,8,1,0,0,0,0,0,0,0.0,376.48,47.086,10.138,96.737,156.54500000000002,65.97200000000001,1,1,3,3,112,original,79,74,98,55,177,0,Below Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,1,1_complex,2,0,0,82,1,6,0,0,0,9,35,3.888888888888889,440.7,53.073,327.179,32.716,9.897,17.833,2,2,2,2,1,complex,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,2,35_nonword,2,0,0,73,1,10,0,1,0,6,43,7.166666666666667,160.28,3.01,20.721,25.759,8.375,102.417,1,1,1,2,35,nonword,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,3,104_original,1,0,0,65,1,5,0,15,0,4,25,6.25,168.29,5.008,125.424,24.776,4.068,9.017,1,1,1,1,104,original,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,4,118_nonword,1,0,0,58,1,16,0,3,0,8,42,5.25,192.35,9.077,111.889,58.949,5.42,7.016,1,1,1,1,118,nonword,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,5,108_complex,3,0,0,53,1,10,0,0,0,4,72,18.0,154.3,24.031,31.359,27.174,13.028,58.712,1,1,1,3,108,complex,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,6,169_simple,1,0,0,46,1,1,0,0,0,2,20,10.0,65.2,6.024,27.174,20.062,4.927,7.009,1,1,1,1,169,simple,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,7,203_simple,1,0,0,41,1,4,0,1,0,4,44,11.0,83.21,7.035,38.7,25.329,4.127,8.015,1,1,1,1,203,simple,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,8,112_complex,2,0,0,38,1,1,0,0,0,0,0,0.0,126.2,5.018,103.357,7.483,3.33,7.017,1,1,1,1,112,complex,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,9,136_nonword,2,0,0,31,1,1,0,0,0,2,31,15.5,99.17,7.028,55.645,10.98,11.002,14.518999999999998,1,1,1,2,136,nonword,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,10,66_original,1,0,0,24,1,0,0,1,0,2,16,8.0,57.17,7.015,28.561,8.903,5.682,7.005,1,1,1,1,66,original,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,11,13_simple,4,0,1,19,1,5,0,0,0,7,27,3.857142857142857,233.51,4.025,156.515,37.95,15.31,19.714,1,1,3,3,13,simple,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,12,121_complex,1,0,0,6,1,4,0,1,0,4,42,10.5,72.19,8.017,18.962,33.82,4.376,7.011,1,1,1,1,121,complex,106,100,115,61,221,0,Highly Above Average
109N06,Undergraduate in Computer Science,2 years - 5 years,Junior,Male,Y,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,90.0,Yes,13,144_original,1,0,0,3,1,0,0,0,0,0,0,0.0,224.35,4.005,7.938,10.67,4.448,197.29,1,1,1,1,144,original,106,100,115,61,221,0,Highly Above Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,1,121_nonword,2,0,0,109,1,6,0,1,0,9,57,6.333333333333333,176.42,18.103,60.558,79.447,9.295,9.022,1,1,1,1,121,nonword,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,2,104_complex,2,0,0,102,1,7,0,1,0,3,23,7.666666666666667,134.23,3.002,80.809,34.288,8.037,8.092,1,1,3,2,104,complex,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,3,1_simple,2,0,0,93,1,11,0,1,0,9,32,3.555555555555556,139.23,1.025,54.326,75.61200000000001,6.508,1.759,1,1,3,2,1,simple,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,4,144_original,1,0,0,86,1,3,0,0,0,3,18,6.0,79.12,1.014,48.724,24.709,2.883,1.792,1,1,2,1,144,original,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,5,35_original,1,0,0,79,1,3,0,1,0,5,27,5.4,73.11,24.037,13.413,30.946,2.996,1.714,1,1,2,1,35,original,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,6,112_simple,1,0,0,75,1,2,0,0,0,1,26,26.0,208.26,31.03,125.354,46.986,3.261,1.633,1,1,2,1,112,simple,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,7,66_original,1,0,0,69,1,1,0,1,0,3,20,6.666666666666667,105.16,2.014,67.797,30.677,3.418,1.252,1,1,2,1,66,original,78,73,72,26,150,1,Highly Below Average
511SJU,Graduate Student in Computer Science,2 years - 5 years,,Male,N,2,"No, I do not have any kind of reading impairment (to the my best knowledge)","No, I do not have any kind of learning impairment (to my best knowledge)",81.81818181818183,100.0,Yes,8,203_simple,1,0,0,62,1,3,0,3,0,4,26,6.5,458.73,23.028,29.827,400.851,3.092,1.928,1,1,2,1,203,simple,78,73,72,26,150,1,Highly Below Average
